Date,CODALY,COLMEX,COCOMX,COLMEAS,COSMMS
2024-03-05,12.95,28218.0,14.0,92.0,32250.0
2024-03-06,12.95,28223.0,14.0,92.0,32500.0
2024-03-07,12.95,28239.0,14.0,92.0,32500.0
2024-03-08,12.95,28244.5,14.0,92.0,32500.0
2024-03-10,12.95,28246.5691,13.9997,92.0,32499.0696
2024-03-11,12.95,28250.0,14.0,92.0,32500.0
2024-03-12,12.95,28255.5,14.0,92.0,32500.0
2024-03-13,12.95,28261.0,14.0,92.0,32500.0
2024-03-14,12.95,28277.0,14.0,92.0,32650.0
2024-03-15,12.95,28282.5,14.0,92.0,32650.0
2024-03-17,12.95,28284.5733,14.0,92.0,32710.6837
2024-03-18,12.95,28288.0,14.0,92.0,32750.0
2024-03-19,12.95,28293.5,14.0,92.0,32750.0
2024-03-20,12.95,28299.0,14.0,92.0,32750.0
2024-03-21,12.95,28315.0,14.0,92.0,32750.0
2024-03-22,12.95,28320.5,14.0,92.0,32750.0
2024-03-24,12.95,28325.3583,14.0,92.0,32774.605
2024-03-25,12.95,28326.0,14.0,92.0,32750.0
2024-03-26,12.95,28331.5,14.0,92.0,32700.0
2024-03-27,12.95,28358.0,14.0,92.0,32700.0
2024-03-28,12.95,28363.5,14.0,92.0,32600.0
2024-03-29,12.95,28363.1306,14.0,92.0,32500.0
2024-03-31,12.95,28365.4244,14.0,92.0,32510.0455
2024-04-01,12.95,28367.2591,14.0,92.0,32500.0
2024-04-02,12.95,28369.0,14.0,92.0,32400.0
2024-04-03,12.95,28374.0,14.0,92.0,32250.0
2024-04-04,12.95,28390.0,14.0,92.0,32156.9912
2024-04-05,12.95,28395.0,14.0,92.0,32125.9389
2024-04-07,12.9476,28391.2264,14.0,92.0,32147.8953
2024-04-08,12.95,28400.0,14.0,92.0,32150.0
2024-04-09,12.95,28405.5,14.0,92.0,32100.0
2024-04-10,12.95,28411.0,14.0,92.0,32000.0
2024-04-11,12.95,28426.5,14.0,92.0,32000.0
2024-04-12,12.623,27710.0,14.0,92.0,31800.0
2024-04-14,12.5363,27521.0473,14.0004,92.0,31777.8112
2024-04-15,12.623,27715.0,14.0,92.0,31800.0
2024-04-16,12.623,27719.0,14.0,92.0,31700.0
2024-04-17,12.623,27723.0,14.0,92.0,31600.0
2024-04-18,12.623,27731.0,14.0,92.0,31600.0
2024-04-19,12.623,27731.0,14.0,92.0,31600.0
2024-04-21,12.6231,27724.0422,13.2864,92.0,31573.2526
2024-04-22,12.623,27722.0,13.0,92.0,31500.0
2024-04-23,12.623,27722.0,13.0,92.0,31400.0
2024-04-24,12.623,27722.0,13.0,92.0,31400.0
2024-04-25,12.623,27730.0,13.0,92.0,31350.0
2024-04-26,12.623,27732.5579,13.0,92.0,31350.0
2024-04-29,12.623,27721.0,13.0,92.0,31200.0
2024-04-30,12.623,27721.0,13.0,92.0,31150.0
2024-05-01,12.623,27717.0,13.0,92.0,31117.1831
2024-05-02,12.623,27729.0,13.0,92.0,31099.545
2024-05-03,12.623,27736.6306,13.0,92.0,31095.5468
2024-05-05,12.623,27729.4407,13.0,92.0,31122.3134
2024-05-06,12.623,27721.5755,13.0,92.0,31150.0
2024-05-07,12.623,27715.5,13.0,92.0,31150.0
2024-05-08,12.623,27715.5,13.0,92.0,31050.0
2024-05-09,12.623,27724.0,13.0,92.0,31000.0
2024-05-10,12.623,27728.0,13.0,92.0,30800.0
2024-05-12,12.623,27720.5901,13.0,92.0,30766.1281
2024-05-13,12.623,27714.5,13.0,92.0,30700.0
2024-05-14,12.623,27710.0,13.0,92.0,30500.0
2024-05-15,12.623,27706.0,13.0,92.0,30500.0
2024-05-16,12.623,27702.0,13.0,92.0,30500.0
2024-05-17,12.623,27702.0,13.0,92.0,30500.0
2024-05-19,12.6327,27604.5857,13.0,92.0,30417.7538
2024-05-20,12.623,27684.0,13.0,92.0,30500.0
2024-05-21,12.623,27680.0,13.0,92.0,30700.0
2024-05-22,12.623,26950.0,13.0,92.0,30800.0
2024-05-23,12.315,26945.0,13.0,92.0,31000.0
2024-05-24,12.315,26945.0,13.0,92.0,31000.0
2024-05-27,12.3356,26912.4607,13.0,92.0,31500.0
2024-05-28,12.315,26918.0,13.0,92.0,32000.0
2024-05-29,12.315,26913.0,13.0,92.0,32000.0
