Date,Price_Cobalt,Price_LME,Price_LME_3M,Price_LME_SPOT
2012-11-05,14.855,32734.0,32750.0,24875.0
2012-11-06,14.855,32734.0,32750.0,25250.0
2012-11-07,14.855,32734.0,32750.0,24550.0
2012-11-08,14.855,32734.0,32750.0,24000.0
2012-11-09,14.855,32734.0,32750.0,24000.0
2012-11-12,14.855,32734.0,32750.0,23500.0
2012-11-13,14.855,32734.0,32750.0,23500.0
2012-11-14,14.855,32734.0,32750.0,23350.0
2012-11-15,14.855,32734.0,32750.0,23350.0
2012-11-16,14.855,32734.0,32750.0,23075.0
2012-11-19,14.855,32734.0,32750.0,23200.0
2012-11-20,14.855,32734.0,32750.0,22950.0
2012-11-21,14.855,32734.0,32750.0,22700.0
2012-11-22,14.855,32734.0,32750.0,22850.0
2012-11-23,14.855,32734.0,32750.0,22850.0
2012-11-26,14.855,32734.0,32750.0,22500.0
2012-11-27,14.855,32734.0,32750.0,22405.0
2012-11-28,14.855,32734.0,32750.0,22555.0
2012-11-29,14.855,32734.0,32750.0,22555.0
2012-11-30,14.855,32734.0,32750.0,22855.0
2012-12-03,14.855,32734.0,32750.0,23861.5
2012-12-04,14.855,32734.0,32750.0,23611.5
2012-12-05,14.855,32734.0,32750.0,23611.5
2012-12-06,14.855,32734.0,32750.0,23611.5
2012-12-07,14.855,32734.0,32750.0,23613.0
2012-12-10,14.855,32734.0,32750.0,23615.0
2012-12-11,14.855,32734.0,32750.0,23615.0
2012-12-12,14.855,32734.0,32750.0,23365.0
2012-12-13,14.855,32734.0,32750.0,23615.0
2012-12-14,14.855,32734.0,32750.0,23615.0
2012-12-17,14.855,32734.0,32750.0,23550.0
2012-12-18,14.855,32734.0,32750.0,23555.0
2012-12-19,14.855,32734.0,32750.0,24055.0
2012-12-20,14.855,32734.0,32750.0,24060.0
2012-12-21,14.855,32734.0,32750.0,24315.0
2012-12-24,14.855,32734.0,32750.0,24320.0
2012-12-27,14.855,32734.0,32750.0,24825.0
2012-12-28,14.855,32734.0,32750.0,25330.0
2012-12-31,14.855,32734.0,32750.0,25400.0
2013-01-02,14.855,32734.0,32750.0,24900.0
2013-01-03,14.855,32734.0,32750.0,24900.0
2013-01-04,14.855,32734.0,32750.0,24900.0
2013-01-07,14.855,32734.0,32750.0,24900.0
2013-01-08,14.855,32734.0,32750.0,24900.0
2013-01-09,14.855,32734.0,32750.0,24900.0
2013-01-10,14.855,32734.0,32750.0,24900.0
2013-01-11,14.855,32734.0,32750.0,25650.0
2013-01-14,14.855,32734.0,32750.0,25650.0
2013-01-15,14.855,32734.0,32750.0,25150.0
2013-01-16,14.855,32734.0,32750.0,24900.0
2013-01-17,14.855,32734.0,32750.0,24905.0
2013-01-18,14.855,32734.0,32750.0,25655.0
2013-01-21,14.855,32734.0,32750.0,25155.0
2013-01-22,14.855,32734.0,32750.0,26155.0
2013-01-23,14.855,32734.0,32750.0,26155.0
2013-01-24,14.855,32734.0,32750.0,26160.0
2013-01-25,14.855,32734.0,32750.0,26160.0
2013-01-28,14.855,32734.0,32750.0,26411.0
2013-01-29,14.855,32734.0,32750.0,26412.0
2013-01-30,14.855,32734.0,32750.0,26413.0
2013-01-31,14.855,32734.0,32750.0,26167.0
2013-02-01,14.855,32734.0,32750.0,24902.0
2013-02-04,14.855,32734.0,32750.0,25903.0
2013-02-05,14.855,32734.0,32750.0,25654.0
2013-02-06,14.855,32734.0,32750.0,25405.0
2013-02-07,14.855,32734.0,32750.0,25650.0
2013-02-08,14.855,32734.0,32750.0,25651.0
2013-02-11,14.855,32734.0,32750.0,25527.5
2013-02-12,14.855,32734.0,32750.0,25275.0
2013-02-13,14.855,32734.0,32750.0,25525.0
2013-02-14,14.855,32734.0,32750.0,25525.0
2013-02-15,14.855,32734.0,32750.0,25250.0
2013-02-18,14.855,32734.0,32750.0,25251.0
2013-02-19,14.855,32734.0,32750.0,25352.0
2013-02-20,14.855,32734.0,32750.0,25353.0
2013-02-21,14.855,32734.0,32750.0,25357.0
2013-02-22,14.855,32734.0,32750.0,25410.0
2013-02-25,14.855,32734.0,32750.0,25411.0
2013-02-26,14.855,32734.0,32750.0,25550.0
2013-02-27,14.855,32734.0,32750.0,25450.0
2013-02-28,14.855,32734.0,32750.0,25425.0
2013-03-01,14.855,32734.0,32750.0,25425.0
2013-03-04,14.855,32734.0,32750.0,25400.0
2013-03-05,14.855,32734.0,32750.0,25401.0
2013-03-06,14.855,32734.0,32750.0,25402.0
2013-03-07,14.855,32734.0,32750.0,25400.0
2013-03-08,14.855,32734.0,32750.0,25401.0
2013-03-11,14.855,32734.0,32750.0,25150.0
2013-03-12,14.855,32734.0,32750.0,25150.0
2013-03-13,14.855,32734.0,32750.0,25138.5
2013-03-14,14.855,32734.0,32750.0,25154.0
2013-03-15,14.855,32734.0,32750.0,25150.0
2013-03-18,14.855,32734.0,32750.0,24949.0
2013-03-19,14.855,32734.0,32750.0,25250.0
2013-03-20,14.855,32734.0,32750.0,25296.0
2013-03-21,14.855,32734.0,32750.0,25050.0
2013-03-22,14.855,32734.0,32750.0,25175.0
2013-03-25,14.855,32734.0,32750.0,25174.0
2013-03-26,14.855,32734.0,32750.0,25174.0
2013-03-27,14.855,32734.0,32750.0,25175.0
2013-03-28,14.855,32734.0,32750.0,26925.0
2013-04-02,14.855,32734.0,32750.0,25300.0
2013-04-03,14.855,32734.0,32750.0,25175.0
2013-04-04,14.855,32734.0,32750.0,25330.0
2013-04-05,14.855,32734.0,32750.0,25330.0
2013-04-08,14.855,32734.0,32750.0,25325.0
2013-04-09,14.855,32734.0,32750.0,25326.0
2013-04-10,14.855,32734.0,32750.0,25350.0
2013-04-11,14.855,32734.0,32750.0,25350.0
2013-04-12,14.855,32734.0,32750.0,25988.0
2013-04-15,14.855,32734.0,32750.0,25788.5
2013-04-16,14.855,32734.0,32750.0,26014.0
2013-04-17,14.855,32734.0,32750.0,26090.0
2013-04-18,14.855,32734.0,32750.0,25750.0
2013-04-19,14.855,32734.0,32750.0,27200.0
2013-04-22,14.855,32734.0,32750.0,27000.0
2013-04-23,14.855,32734.0,32750.0,27375.0
2013-04-24,14.855,32734.0,32750.0,27125.0
2013-04-25,14.855,32734.0,32750.0,27499.75
2013-04-26,14.855,32734.0,32750.0,27324.5
2013-04-29,14.855,32734.0,32750.0,27249.0
2013-04-30,14.855,32734.0,32750.0,27508.75
2013-05-01,14.855,32734.0,32750.0,27508.0
2013-05-02,14.855,32734.0,32750.0,27458.0
2013-05-03,14.855,32734.0,32750.0,27558.0
2013-05-07,14.855,32734.0,32750.0,27857.0
2013-05-08,14.855,32734.0,32750.0,27557.0
2013-05-09,14.855,32734.0,32750.0,27857.0
2013-05-10,14.855,32734.0,32750.0,27957.0
2013-05-13,14.855,32734.0,32750.0,28060.0
2013-05-14,14.855,32734.0,32750.0,27610.0
2013-05-15,14.855,32734.0,32750.0,27710.0
2013-05-16,14.855,32734.0,32750.0,28360.0
2013-05-17,14.855,32734.0,32750.0,28360.0
2013-05-20,14.855,32734.0,32750.0,28260.0
2013-05-21,14.855,32734.0,32750.0,27860.0
2013-05-22,14.855,32734.0,32750.0,27800.0
2013-05-23,14.855,32734.0,32750.0,28000.0
2013-05-24,14.855,32734.0,32750.0,28200.0
2013-05-28,14.855,32734.0,32750.0,28200.0
2013-05-29,14.855,32734.0,32750.0,28000.0
2013-05-30,14.855,32734.0,32750.0,28000.0
2013-05-31,14.855,32734.0,32750.0,29500.0
2013-06-03,14.855,32734.0,32750.0,29497.25
2013-06-04,14.855,32734.0,32750.0,29896.5
2013-06-05,14.855,32734.0,32750.0,29900.0
2013-06-06,14.855,32734.0,32750.0,29500.0
2013-06-07,14.855,32734.0,32750.0,29500.0
2013-06-10,14.855,32734.0,32750.0,29700.0
2013-06-11,14.855,32734.0,32750.0,29900.0
2013-06-12,14.855,32734.0,32750.0,29900.0
2013-06-13,14.855,32734.0,32750.0,29750.0
2013-06-14,14.855,32734.0,32750.0,30500.0
2013-06-17,14.855,32734.0,32750.0,30200.0
2013-06-18,14.855,32734.0,32750.0,30000.0
2013-06-19,14.855,32734.0,32750.0,30050.0
2013-06-20,14.855,32734.0,32750.0,29806.0
2013-06-21,14.855,32734.0,32750.0,29950.0
2013-06-24,14.855,32734.0,32750.0,30001.0
2013-06-25,14.855,32734.0,32750.0,29825.0
2013-06-26,14.855,32734.0,32750.0,30127.0
2013-06-27,14.855,32734.0,32750.0,30910.0
2013-06-28,14.855,32734.0,32750.0,32038.0
2013-07-01,14.855,32734.0,32750.0,31730.0
2013-07-02,14.855,32734.0,32750.0,31783.0
2013-07-03,14.855,32734.0,32750.0,30800.0
2013-07-04,14.855,32734.0,32750.0,30804.0
2013-07-05,14.855,32734.0,32750.0,30806.0
2013-07-08,14.855,32734.0,32750.0,30950.0
2013-07-09,14.855,32734.0,32750.0,30250.0
2013-07-10,14.855,32734.0,32750.0,30250.0
2013-07-11,14.855,32734.0,32750.0,30251.0
2013-07-12,14.855,32734.0,32750.0,29550.0
2013-07-15,14.855,32734.0,32750.0,29500.0
2013-07-16,14.855,32734.0,32750.0,29550.0
2013-07-17,14.855,32734.0,32750.0,28204.0
2013-07-18,14.855,32734.0,32750.0,29513.0
2013-07-19,14.855,32734.0,32750.0,29000.0
2013-07-22,14.855,32734.0,32750.0,28700.0
2013-07-23,14.855,32734.0,32750.0,28750.0
2013-07-24,14.855,32734.0,32750.0,29000.0
2013-07-25,14.855,32734.0,32750.0,28181.0
2013-07-26,14.855,32734.0,32750.0,27075.0
2013-07-29,14.855,32734.0,32750.0,26573.0
2013-07-30,14.855,32734.0,32750.0,26100.0
2013-07-31,14.855,32734.0,32750.0,26351.0
2013-08-01,14.855,32734.0,32750.0,26305.0
2013-08-02,14.855,32734.0,32750.0,26520.0
2013-08-05,14.855,32734.0,32750.0,25830.0
2013-08-06,14.855,32734.0,32750.0,25831.0
2013-08-07,14.855,32734.0,32750.0,25832.0
2013-08-08,14.855,32734.0,32750.0,25825.0
2013-08-09,14.855,32734.0,32750.0,26327.0
2013-08-12,14.855,32734.0,32750.0,26825.0
2013-08-13,14.855,32734.0,32750.0,26326.0
2013-08-14,14.855,32734.0,32750.0,27400.0
2013-08-15,14.855,32734.0,32750.0,27652.0
2013-08-16,14.855,32734.0,32750.0,27402.5
2013-08-19,14.855,32734.0,32750.0,28159.0
2013-08-20,14.855,32734.0,32750.0,26900.0
2013-08-21,14.855,32734.0,32750.0,26350.0
2013-08-22,14.855,32734.0,32750.0,26900.0
2013-08-23,14.855,32734.0,32750.0,27010.0
2013-08-27,14.855,32734.0,32750.0,27200.0
2013-08-28,14.855,32734.0,32750.0,27150.5
2013-08-29,14.855,32734.0,32750.0,27202.0
2013-08-30,14.855,32734.0,32750.0,27925.0
2013-09-02,14.855,32734.0,32750.0,28341.0
2013-09-03,14.855,32734.0,32750.0,29000.0
2013-09-04,14.855,32734.0,32750.0,30950.0
2013-09-05,14.855,32734.0,32750.0,30948.0
2013-09-06,14.855,32734.0,32750.0,30446.0
2013-09-09,14.855,32734.0,32750.0,30495.0
2013-09-10,14.855,32734.0,32750.0,30093.0
2013-09-11,14.855,32734.0,32750.0,29991.0
2013-09-12,14.855,32734.0,32750.0,29440.0
2013-09-13,14.855,32734.0,32750.0,28500.0
2013-09-16,14.855,32734.0,32750.0,29100.0
2013-09-17,14.855,32734.0,32750.0,28500.0
2013-09-18,14.855,32734.0,32750.0,28000.0
2013-09-19,14.855,32734.0,32750.0,27700.0
2013-09-20,14.855,32734.0,32750.0,28280.0
2013-09-23,14.855,32734.0,32750.0,27860.0
2013-09-24,14.855,32734.0,32750.0,27850.0
2013-09-25,14.855,32734.0,32750.0,27250.0
2013-09-26,14.855,32734.0,32750.0,26800.0
2013-09-27,14.855,32734.0,32750.0,26220.0
2013-09-30,14.855,32734.0,32750.0,26525.0
2013-10-01,14.855,32734.0,32750.0,26625.0
2013-10-02,14.855,32734.0,32750.0,26530.0
2013-10-03,14.855,32734.0,32750.0,27181.0
2013-10-04,14.855,32734.0,32750.0,27175.0
2013-10-07,14.855,32734.0,32750.0,26920.0
2013-10-08,14.855,32734.0,32750.0,26920.0
2013-10-09,14.855,32734.0,32750.0,27170.0
2013-10-10,14.855,32734.0,32750.0,27070.0
2013-10-11,14.855,32734.0,32750.0,27470.0
2013-10-14,14.855,32734.0,32750.0,27175.0
2013-10-15,14.855,32734.0,32750.0,27425.0
2013-10-16,14.855,32734.0,32750.0,27175.0
2013-10-17,14.855,32734.0,32750.0,27177.0
2013-10-18,14.855,32734.0,32750.0,27178.0
2013-10-21,14.855,32734.0,32750.0,27076.0
2013-10-22,14.855,32734.0,32750.0,27126.0
2013-10-23,14.855,32734.0,32750.0,27026.0
2013-10-24,14.855,32734.0,32750.0,26677.0
2013-10-25,14.855,32734.0,32750.0,26975.0
2013-10-28,14.855,32734.0,32750.0,27050.0
2013-10-29,14.855,32734.0,32750.0,27050.0
2013-10-30,14.855,32734.0,32750.0,26850.0
2013-10-31,14.855,32734.0,32750.0,26852.0
2013-11-01,14.855,32734.0,32750.0,26850.0
2013-11-04,14.855,32734.0,32750.0,27150.0
2013-11-05,14.855,32734.0,32750.0,27100.0
2013-11-06,14.855,32734.0,32750.0,26900.0
2013-11-07,14.855,32734.0,32750.0,27154.0
2013-11-08,14.855,32734.0,32750.0,26904.0
2013-11-11,14.855,32734.0,32750.0,26600.0
2013-11-12,14.855,32734.0,32750.0,26600.0
2013-11-13,14.855,32734.0,32750.0,26600.0
2013-11-14,14.855,32734.0,32750.0,26603.0
2013-11-15,14.855,32734.0,32750.0,25400.0
2013-11-18,14.855,32734.0,32750.0,25898.0
2013-11-19,14.855,32734.0,32750.0,25898.0
2013-11-20,14.855,32734.0,32750.0,25898.0
2013-11-21,14.855,32734.0,32750.0,25150.0
2013-11-22,14.855,32734.0,32750.0,25400.0
2013-11-25,14.855,32734.0,32750.0,25397.0
2013-11-26,14.855,32734.0,32750.0,25648.0
2013-11-27,14.855,32734.0,32750.0,25522.0
2013-11-28,14.855,32734.0,32750.0,25525.0
2013-11-29,14.855,32734.0,32750.0,25425.0
2013-12-02,14.855,32734.0,32750.0,25923.0
2013-12-03,14.855,32734.0,32750.0,25700.0
2013-12-04,14.855,32734.0,32750.0,25600.0
2013-12-05,14.855,32734.0,32750.0,25704.0
2013-12-06,14.855,32734.0,32750.0,25705.0
2013-12-09,14.855,32734.0,32750.0,26202.0
2013-12-10,14.855,32734.0,32750.0,26404.0
2013-12-11,14.855,32734.0,32750.0,26404.5
2013-12-12,14.855,32734.0,32750.0,26310.0
2013-12-13,14.855,32734.0,32750.0,26210.0
2013-12-16,14.855,32734.0,32750.0,26411.0
2013-12-17,14.855,32734.0,32750.0,26513.0
2013-12-18,14.855,32734.0,32750.0,26315.0
2013-12-19,14.855,32734.0,32750.0,26370.0
2013-12-20,14.855,32734.0,32750.0,26772.0
2013-12-23,14.855,32734.0,32750.0,27100.0
2013-12-24,14.855,32734.0,32750.0,27404.0
2013-12-27,14.855,32734.0,32750.0,27854.0
2013-12-30,14.855,32734.0,32750.0,27904.0
2013-12-31,14.855,32734.0,32750.0,28950.0
2014-01-02,14.855,32734.0,32750.0,29451.5
2014-01-03,14.855,32734.0,32750.0,29600.0
2014-01-06,14.855,32734.0,32750.0,29600.0
2014-01-07,14.855,32734.0,32750.0,27750.0
2014-01-08,14.855,32734.0,32750.0,27000.0
2014-01-09,14.855,32734.0,32750.0,27250.0
2014-01-10,14.855,32734.0,32750.0,27500.0
2014-01-13,14.855,32734.0,32750.0,27525.0
2014-01-14,14.855,32734.0,32750.0,27425.0
2014-01-15,14.855,32734.0,32750.0,26915.0
2014-01-16,14.855,32734.0,32750.0,26910.0
2014-01-17,14.855,32734.0,32750.0,27860.0
2014-01-20,14.855,32734.0,32750.0,27805.0
2014-01-21,14.855,32734.0,32750.0,28255.0
2014-01-22,14.855,32734.0,32750.0,28600.0
2014-01-23,14.855,32734.0,32750.0,28350.0
2014-01-24,14.855,32734.0,32750.0,27900.0
2014-01-27,14.855,32734.0,32750.0,28150.0
2014-01-28,14.855,32734.0,32750.0,27901.0
2014-01-29,14.855,32734.0,32750.0,28402.0
2014-01-30,14.855,32734.0,32750.0,29905.0
2014-01-31,14.855,32734.0,32750.0,28906.0
2014-02-03,14.855,32734.0,32750.0,30656.0
2014-02-04,14.855,32734.0,32750.0,30905.0
2014-02-05,14.855,32734.0,32750.0,30406.0
2014-02-06,14.855,32734.0,32750.0,31160.0
2014-02-07,14.855,32734.0,32750.0,31161.0
2014-02-10,14.855,32734.0,32750.0,31161.0
2014-02-11,14.855,32734.0,32750.0,31211.0
2014-02-12,14.855,32734.0,32750.0,31050.0
2014-02-13,14.855,32734.0,32750.0,31105.0
2014-02-14,14.855,32734.0,32750.0,31155.0
2014-02-17,14.855,32734.0,32750.0,31150.0
