Date,PLIH5,PLIX5,diff,diff_ma5
2024-05-06,16.03,17.23,1.1999999999999993,1.222
2024-05-07,16.03,17.23,1.1999999999999993,1.1979999999999997
2024-05-08,15.86,17.12,1.2600000000000016,1.2100000000000002
2024-05-09,15.79,17.07,1.2800000000000011,1.2280000000000002
2024-05-10,15.77,16.99,1.2199999999999989,1.232
2024-05-13,15.7,16.92,1.2200000000000024,1.2360000000000007
2024-05-14,15.03,16.62,1.5900000000000016,1.3140000000000012
2024-05-15,15.03,16.29,1.2599999999999998,1.3140000000000007
2024-05-16,14.99,16.26,1.2700000000000014,1.3120000000000007
2024-05-17,14.94,16.29,1.3499999999999996,1.338000000000001
2024-05-20,14.81,16.28,1.4700000000000006,1.3880000000000006
2024-05-21,14.94,16.28,1.3400000000000016,1.3380000000000005
2024-05-22,15.22,16.26,1.040000000000001,1.294000000000001
2024-05-23,15.17,16.22,1.049999999999999,1.2500000000000004
2024-05-24,15.11,16.22,1.1099999999999994,1.2020000000000004
2024-05-27,14.99,16.26,1.2700000000000014,1.1620000000000004
2024-05-28,14.99,16.26,1.2700000000000014,1.1480000000000004
2024-05-29,15.01,16.22,1.209999999999999,1.182
2024-05-30,14.97,16.18,1.209999999999999,1.214
2024-05-31,14.82,16.14,1.3200000000000003,1.2560000000000002
2024-06-03,14.79,16.03,1.240000000000002,1.2500000000000004
2024-06-04,14.74,15.96,1.2200000000000006,1.2400000000000002
2024-06-05,14.5,15.96,1.4600000000000009,1.2900000000000005
2024-06-06,14.97,16.42,1.450000000000001,1.338000000000001
2024-06-07,14.78,16.16,1.3800000000000008,1.350000000000001
2024-06-10,14.71,16.18,1.4699999999999989,1.3960000000000004
2024-06-11,14.67,16.12,1.450000000000001,1.4420000000000006
2024-06-12,14.56,16.12,1.5600000000000005,1.4620000000000004
2024-06-13,14.47,15.96,1.4900000000000002,1.4700000000000002
2024-06-14,14.29,15.96,1.6700000000000017,1.5280000000000005
2024-06-17,14.47,15.96,1.4900000000000002,1.5320000000000007
2024-06-18,14.06,15.71,1.6500000000000004,1.5720000000000005
2024-06-19,13.98,15.72,1.7400000000000002,1.6080000000000005
2024-06-20,13.98,15.72,1.7400000000000002,1.6580000000000006
2024-06-21,13.94,15.72,1.7800000000000011,1.6800000000000004
2024-06-24,14.03,15.66,1.6300000000000008,1.7080000000000006
2024-06-25,13.85,15.53,1.6799999999999997,1.7140000000000004
2024-06-26,13.59,15.53,1.9399999999999995,1.7540000000000002
2024-06-27,13.6,15.49,1.8900000000000006,1.7840000000000003
2024-06-28,13.6,15.42,1.8200000000000003,1.7920000000000003
2024-07-01,13.48,15.15,1.67,1.8
2024-07-02,13.88,15.59,1.709999999999999,1.8059999999999998
2024-07-03,13.49,14.94,1.4499999999999993,1.7079999999999997
2024-07-04,13.46,14.79,1.3299999999999983,1.5959999999999994
2024-07-05,13.46,14.79,1.3299999999999983,1.4979999999999989
2024-07-08,13.45,14.79,1.3399999999999999,1.431999999999999
2024-07-09,13.46,14.74,1.2799999999999994,1.345999999999999
2024-07-10,13.64,14.71,1.0700000000000003,1.2699999999999991
2024-07-11,13.35,14.74,1.3900000000000006,1.2819999999999996
2024-07-12,13.35,14.74,1.3900000000000006,1.294
2024-07-15,13.34,14.49,1.1500000000000004,1.2560000000000002
2024-07-16,13.06,14.43,1.3699999999999992,1.2740000000000002
2024-07-17,12.92,14.43,1.5099999999999998,1.362
2024-07-18,12.82,14.43,1.6099999999999994,1.406
2024-07-19,12.66,14.43,1.7699999999999996,1.4819999999999998
2024-07-22,12.82,14.43,1.6099999999999994,1.5739999999999994
2024-07-23,13.39,14.84,1.4499999999999993,1.5899999999999994
