Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
30.10.2024;9538;7,5;0,0786947169613347;9560;29,5;0,30953255338125;9589;58,5;0,61381879229841;9488;-42,5;-0,445936729447563
29.10.2024;9530,5;-11;-0,115285856521511;9541,5;0;0;9667;125,5;1,31530681758633;9494;-47,5;-0,497825289524708
28.10.2024;9541,5;-61;-0,635251236657121;9561,5;-41;-0,426972142671179;9598;-4,5;-0,0468627961468368;9507,5;-95;-0,989325696433221
25.10.2024;9602,5;95,5;1,00452298306511;9567,5;60,5;0,636373198695698;9608;101;1,06237509203745;9483,5;-23,5;-0,247186283790891
24.10.2024;9507;-14,5;-0,152286929580423;9515;-6,5;-0,0682665546395001;9647;125,5;1,31806963188573;9496;-25,5;-0,267814945124193
23.10.2024;9521,5;-61,5;-0,641761452572263;9605;22;0,229573202546176;9622;39;0,406970677240948;9460,5;-122,5;-1,27830533235939
22.10.2024;9583;24;0,251072287896223;9561;2;0,0209226906580186;9659;100;1,04613453290093;9545;-14;-0,14645883460613
21.10.2024;9559;-66,5;-0,690873201392135;9646;20,5;0,212975949301335;9758;132,5;1,37655186743546;9548;-77,5;-0,805152979066023
18.10.2024;9625,5;109,5;1,15069356872636;9519,5;3,5;0,0367801597309794;9656;140;1,47120638923918;9482;-34;-0,3572929802438
17.10.2024;9516;-42,5;-0,444630433645446;9590;31,5;0,329549615525449;9667;108,5;1,13511534236543;9435,5;-123;-1,2868127844327
16.10.2024;9558,5;28;0,293793609988983;9539;8,5;0,0891873458895126;9642;111,5;1,16992812549184;9521;-9,5;-0,0996799748176906
15.10.2024;9530,5;-129;-1,33547285056162;9668;8,5;0,0879962730990217;9686,5;27;0,279517573373363;9520;-139,5;-1,44417412909571
14.10.2024;9659,5;-132;-1,34810805290303;9720;-71,5;-0,730225195322474;9784,5;-7;-0,0714905785630394;9626;-165,5;-1,69024153602615
11.10.2024;9791,5;68,5;0,704515067366039;9746;23;0,236552504371079;9817;94;0,966779800473105;9693,5;-29,5;-0,303404299084645
10.10.2024;9723;48;0,496124031007752;9678;3;0,0310077519379845;9767,5;92,5;0,956072351421189;9618;-57;-0,589147286821705
09.10.2024;9675;-67,5;-0,69284064665127;9779,5;37;0,379779317423659;9855;112,5;1,15473441108545;9606,5;-136;-1,39594559917886
08.10.2024;9742,5;-187;-1,88327710358024;9948;18,5;0,186313510247243;9988;58,5;0,589153532403444;9700;-229,5;-2,3112946271212
07.10.2024;9929,5;-14;-0,140795494544175;9980;36,5;0,367073967918741;10015;71,5;0,719062704279177;9860;-83,5;-0,839744556745613
04.10.2024;9943,5;77,5;0,785526049057369;9908;42;0,425704439489155;10015;149;1,51023717818772;9880;14;0,141901479829718
03.10.2024;9866;-218,5;-2,16669145718677;10100;15,5;0,153701224651693;10120;35,5;0,352025385492588;9845,5;-239;-2,36997372204869
02.10.2024;10084,5;105,5;1,05722016234092;9945;-34;-0,340715502555366;10105;126;1,26265156829342;9926;-53;-0,531115342218659
01.10.2024;9979;150;1,52609624580324;9870;41;0,417132973852884;10020;191;1,94322921965612;9851;22;0,223827449384475
30.09.2024;9829;-153,5;-1,53769095917856;10111;128,5;1,28725269221137;10158;175,5;1,75807663410969;9813,5;-169;-1,69296268469822
27.09.2024;9982,5;-98;-0,97217399930559;10080,5;0;0;10095;14,5;0,143842071325827;9946;-134,5;-1,33425921333267
26.09.2024;10080,5;267,5;2,72597574645878;9809,5;-3,5;-0,0356669723835728;10090;277;2,82278610007133;9769,5;-43,5;-0,443289513910119
25.09.2024;9813;17;0,173540220498163;9850;54;0,551245406288281;9913;117;1,19436504695794;9731,5;-64,5;-0,658432013066558
24.09.2024;9796;247,5;2,59203016180552;9529;-19,5;-0,204220558202859;9825;276,5;2,89574278682516;9513;-35,5;-0,37178614442059
23.09.2024;9548,5;72;0,759774178230359;9488,5;12;0,12662902970506;9562,5;86;0,907508046219596;9381,5;-95;-1,00247981849839
20.09.2024;9476,5;-38,5;-0,404624277456647;9530,5;15,5;0,162900683131897;9599,5;84,5;0,888071466106148;9468;-47;-0,493956910141881
19.09.2024;9515;114,5;1,21802031806819;9372;-28,5;-0,303175363012606;9586,5;186;1,97861815860858;9312;-88,5;-0,941439285144407
18.09.2024;9400,5;30,5;0,325506937033084;9381;11;0,117395944503735;9444;74;0,789754535752401;9300;-70;-0,747065101387407
17.09.2024;9370;-20;-0,212992545260916;9362;-28;-0,298189563365282;9445,5;55,5;0,591054313099042;9337;-53;-0,564430244941427
16.09.2024;9390;82;0,880962612806188;9270;-38;-0,408250966910185;9466,5;158,5;1,70283626987538;9217;-91;-0,977653631284916
13.09.2024;9308;92,5;1,00374369269166;9233;17,5;0,189897455374098;9327;111,5;1,20991807281211;9195,5;-20;-0,217025663284683
12.09.2024;9215,5;125;1,3750618777845;9147;56,5;0,621527968758594;9294,5;204;2,2441009845443;9129,5;39;0,429019305868764
11.09.2024;9090,5;64,5;0,714602260137381;9028;2;0,022158209616663;9151;125;1,38488810104144;9003,5;-22,5;-0,249279858187458
10.09.2024;9026;-71;-0,780477080356161;9097,5;0,5;0,00549631746729691;9143,5;46,5;0,511157524458613;8983;-114;-1,2531603825437
09.09.2024;9097;101;1,12272120942641;8971,5;-24,5;-0,272343263672743;9149;153;1,70075589150734;8941;-55;-0,611382836816363
06.09.2024;8996;-96;-1,05587329520458;9110;18;0,197976242850858;9175,5;83,5;0,918389793224813;8952,5;-139,5;-1,53431588209415
05.09.2024;9092;132;1,47321428571429;8975,5;15,5;0,172991071428571;9158;198;2,20982142857143;8892;-68;-0,758928571428571
04.09.2024;8960;5,5;0,0614216315818862;8999,5;45;0,502540622033614;9038;83,5;0,932492043106818;8890;-64,5;-0,720308224914847
