Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
13.01.2023;26795;-218;-0,807018842779403;27710;697;25,802,391,441,158;28300;1287;47,643,727,094,362;26720;-293;-108,466,294,006,589
16.01.2023;27217;422;157,492,069,415,936;26915;120;0,44784474715432;27500;705;263,108,788,953,163;26340;-455;-16,980,779,996,268
17.01.2023;26690;-527;-193,628,981,886,321;27015;-202;-0,742183194327075;27395;178;0,654003012822868;26500;-717;-263,438,292,243,818
18.01.2023;27844;1154;432,371,674,784,564;26855;165;0,618209067066317;28250;1560;584,488,572,499,063;26855;165;0,618209067066317
19.01.2023;29346;1502;539,433,989,369,343;28325;481;172,748,168,366,614;29520;1676;601,925,010,774,314;28100;256;0,919408131015659
20.01.2023;28771;-575;-195,938,117,631,023;29400;54;0,184011449601309;29520;174;0,592925782048661;28295;-1051;-358,140,802,835,139
23.01.2023;28110;-661;-229,745,229,571,443;28500;-271;-0,941920684022106;28650;-121;-0,420562371832748;27800;-971;-337,492,614,090,577
24.01.2023;28782;672;23,906,083,244,397;28620;510;181,430,096,051,227;29340;1230;437,566,702,241,195;27910;-200;-0,711490572749911
25.01.2023;29182;400;138,975,748,731,846;28620;-162;-0,562851782363977;29490;708;245,987,075,255,368;28615;-167;-0,580223750955458
26.01.2023;29427;245;0,839558632033445;29095;-87;-0,29812898362004;29490;308;105,544,513,741,347;28300;-882;-30,224,110,753,204
27.01.2023;28902;-525;-178,407,584,871,037;29430;3;0,0101947191354878;29770;343;116,559,622,115,744;28820;-607;-206,273,150,508,037
30.01.2023;29219;317;109,680,990,934,883;29420;518;17,922,635,111,757;30040;1138;393,744,377,551,727;29115;213;0,736973219846377
31.01.2023;30344;1125;38,502,344,364,968;29550;331;113,282,453,198,261;30535;1316;45,039,186,830,487;29295;76;0,260104726376673
01.02.2023;29296;-1048;-34,537,305,562,879;30730;386;127,208,014,764,039;30730;386;127,208,014,764,039;29000;-1344;-442,921,170,577,379
02.02.2023;29790;494;168,623,702,894,593;29000;-296;-101,037,684,325,505;30000;704;240,305,843,801,202;28635;-661;-225,628,072,091,753
03.02.2023;28612;-1178;-395,434,709,634,105;29950;160;0,537092984222894;30195;405;13,595,166,163,142;28460;-1330;-44,645,854,313,528
06.02.2023;27258;-1354;-473,228,016,216,972;28465;-147;-0,513770445966727;28465;-147;-0,513770445966727;26960;-1652;-577,380,120,229,274
07.02.2023;27248;-10;-0,0366864773644435;27220;-38;-0,139408613984885;27555;297;108,958,837,772,397;26740;-518;-190,035,952,747,817
08.02.2023;27390;142;0,521139166177334;27795;547;200,748,678,802,114;27900;652;239,283,617,146,213;27255;7;0,0256899588960658
09.02.2023;29142;1752;639,649,507,119,387;27645;255;0,930996714129244;29225;1835;669,952,537,422,417;27150;-240;-0,876232201533406
10.02.2023;27794;-1348;-462,562,624,390,913;29000;-142;-0,487269233408826;29130;-12;-0,0411776816965205;27370;-1772;-608,057,099,718,619
13.02.2023;26627;-1167;-419,874,793,120,817;27245;-549;-197,524,645,606,966;27375;-419;-150,751,960,854,861;26420;-1374;-494,351,298,841,477
14.02.2023;26459;-168;-0,630938521050062;26570;-57;-0,214068426784842;27105;478;179,517,031,584,482;26280;-347;-130,318,849,288,316
15.02.2023;26143;-316;-119,430,061,604,747;26495;36;0,136059563853509;26495;36;0,136059563853509;25990;-469;-177,255,376,242,488
16.02.2023;26489;346;132,349,003,557,358;26000;-143;-0,546991546494281;26700;557;213,058,945,033,087;25974;-169;-0,646444554947787
17.02.2023;25793;-696;-262,750,575,710,672;26460;-29;-0,109479406546113;26465;-24;-0,0906036467967836;25560;-929;-35,071,161,614,255
20.02.2023;26932;1139;441,592,680,184,546;26050;257;0,996394370565657;27160;1367;529,988,756,639,398;25850;57;0,22099019113713
21.02.2023;27105;173;0,642358532600624;26910;-22;-0,0816872122382296;27395;463;171,914,451,210,456;26830;-102;-0,378731620377246
22.02.2023;26431;-674;-248,662,608,374,839;26320;-785;-289,614,462,276,333;26680;-425;-156,797,638,812,027;26190;-915;-337,576,092,971,776
23.02.2023;25387;-1044;-394,990,730,581,514;26200;-231;-0,87397374295335;26325;-106;-0,401044228368204;25260;-1171;-443,040,369,263,365
24.02.2023;24554;-833;-328,120,691,692,599;25400;13;0,0512073108283767;25520;133;0,523890180013393;24280;-1107;-436,049,946,823,177
27.02.2023;25505;951;387,309,603,323,287;24505;-49;-0,199560153131873;25570;1016;413,781,868,534,658;24300;-254;-103,445,467,133,665
28.02.2023;24794;-711;-278,768,868,849,245;25380;-125;-0,490099980396001;25505;0;0;24440;-1065;-417,565,183,297,393
01.03.2023;24890;96;0,387190449302251;25050;256;1,032,507,864,806;25505;711;286,762,926,514,479;24735;-59;-0,237960796967008
02.03.2023;24395;-495;-198,875,050,220,972;24810;-80;-0,321414222579349;24895;5;0,0200883889112093;24100;-790;-317,396,544,797,107
03.03.2023;24597;202;0,828038532486165;24405;10;0,040992006558721;24950;555;227,505,636,400,902;24160;-235;-0,963312154129945
