Date;PX_ASK;PX_BID
30.05.2024;26910;26410
29.05.2024;26915;26415
28.05.2024;26920;26420
24.05.2024;26945;26445
23.05.2024;26945;26445
22.05.2024;26950;26000
21.05.2024;27680;27180
20.05.2024;27685;27185
17.05.2024;27700;27200
16.05.2024;27700;27200
15.05.2024;27705;27205
14.05.2024;27710;27210
13.05.2024;27715;27215
10.05.2024;27730;27230
09.05.2024;27725;27225
08.05.2024;27715;27215
07.05.2024;27715;27215
03.05.2024;27735;27235
02.05.2024;27730;27230
01.05.2024;27715;27215
30.04.2024;27720;27220
29.04.2024;27720;27220
26.04.2024;27730;27230
25.04.2024;27730;27230
24.04.2024;27720;27220
23.04.2024;27720;27220
22.04.2024;27720;27220
19.04.2024;27730;27230
18.04.2024;27730;27230
17.04.2024;27725;27225
16.04.2024;27720;27220
15.04.2024;27715;27215
12.04.2024;27710;27930
11.04.2024;28425;27925
10.04.2024;28410;27910
09.04.2024;28405;27905
08.04.2024;28400;27900
05.04.2024;28395;27895
04.04.2024;28390;27890
03.04.2024;28375;27875
02.04.2024;28370;27870
28.03.2024;28365;27865
27.03.2024;28360;27860
26.03.2024;28330;27830
25.03.2024;28325;27825
22.03.2024;28320;27820
21.03.2024;28315;27815
20.03.2024;28300;27800
19.03.2024;28295;27795
18.03.2024;28290;27790
15.03.2024;28280;27780
14.03.2024;28275;27775
13.03.2024;28260;27760
12.03.2024;28255;27555
11.03.2024;28250;27750
08.03.2024;28245;27745
07.03.2024;28240;27740
06.03.2024;28225;27725
05.03.2024;28220;27720
04.03.2024;28215;27715
01.03.2024;28205;27705
29.02.2024;28200;27700
28.02.2024;28185;27685
27.02.2024;28180;27680
26.02.2024;28175;27675
23.02.2024;28170;27670
22.02.2024;40000;27665
21.02.2024;28150;27650
20.02.2024;28140;27500
19.02.2024;28135;27635
16.02.2024;28130;27500
15.02.2024;28130;27630
14.02.2024;28115;27615
13.02.2024;28110;27500
12.02.2024;28105;27605
09.02.2024;28100;27600
08.02.2024;28685;28100
07.02.2024;28675;28175
06.02.2024;28670;28170
05.02.2024;28665;28165
02.02.2024;28690;28190
01.02.2024;28690;28190
31.01.2024;28680;28180
30.01.2024;28675;28175
29.01.2024;28680;28180
26.01.2024;28690;28190
25.01.2024;28690;28190
24.01.2024;28685;28185
23.01.2024;28685;28185
22.01.2024;28685;28185
19.01.2024;28695;28195
18.01.2024;28695;28195
17.01.2024;28690;28190
16.01.2024;28690;28190
15.01.2024;28690;28190
12.01.2024;28700;28200
11.01.2024;28705;28205
10.01.2024;28690;28190
09.01.2024;28690;28190
08.01.2024;28690;28190
05.01.2024;28700;28200
04.01.2024;28700;28200
03.01.2024;28690;28190
02.01.2024;28690;28190
29.12.2023;28710;28210
28.12.2023;28705;28205
27.12.2023;28690;28190
22.12.2023;28710;28210
21.12.2023;28710;28210
20.12.2023;28685;28185
19.12.2023;28685;28185
18.12.2023;28685;28185
15.12.2023;28700;28200
14.12.2023;29390;28890
13.12.2023;30105;29605
12.12.2023;30830;30330
11.12.2023;31545;31045
08.12.2023;32280;31780
07.12.2023;33000;32500
06.12.2023;32270;32495
05.12.2023;32995;32495
04.12.2023;32995;32495
01.12.2023;33005;32505
30.11.2023;33010;32510
29.11.2023;32995;32495
28.11.2023;32995;32495
27.11.2023;32995;32495
24.11.2023;33015;32515
23.11.2023;33010;32510
22.11.2023;33000;32500
21.11.2023;33005;32505
20.11.2023;33005;32505
17.11.2023;33015;32515
16.11.2023;33010;32510
15.11.2023;33005;32505
14.11.2023;33005;32505
13.11.2023;33005;32505
10.11.2023;33015;32515
09.11.2023;33010;32510
08.11.2023;32995;32495
07.11.2023;32995;32495
06.11.2023;32995;32495
03.11.2023;33005;32505
02.11.2023;33000;32500
01.11.2023;32990;32490
31.10.2023;32990;32490
30.10.2023;32985;32485
27.10.2023;33000;32500
26.10.2023;32995;32495
25.10.2023;32980;32480
24.10.2023;32980;32480
23.10.2023;32980;32480
20.10.2023;32990;32490
19.10.2023;32985;32485
18.10.2023;32975;32475
17.10.2023;32975;32475
16.10.2023;32975;32475
13.10.2023;32990;32490
12.10.2023;32985;32485
11.10.2023;32975;32475
10.10.2023;32975;32475
09.10.2023;32975;32475
06.10.2023;32990;32490
05.10.2023;32990;32490
04.10.2023;32975;32475
03.10.2023;32975;32475
02.10.2023;32975;32475
29.09.2023;32990;32490
28.09.2023;32990;32490
27.09.2023;32980;32480
26.09.2023;32975;32475
25.09.2023;32970;32470
22.09.2023;32990;32490
21.09.2023;32990;32490
20.09.2023;32980;32480
19.09.2023;32980;32480
18.09.2023;32975;32475
15.09.2023;32985;32485
14.09.2023;32985;32485
13.09.2023;32980;32480
12.09.2023;32980;32480
11.09.2023;32980;32480
08.09.2023;32985;32485
07.09.2023;32985;32485
06.09.2023;32980;32480
05.09.2023;32980;32480
04.09.2023;32980;32480
01.09.2023;32985;32485
31.08.2023;32990;32490
30.08.2023;32975;32475
29.08.2023;32975;32475
25.08.2023;32990;32490
24.08.2023;32985;32485
23.08.2023;32970;32470
22.08.2023;32975;32475
21.08.2023;32975;32475
18.08.2023;32985;32485
17.08.2023;32985;32485
16.08.2023;32975;32475
15.08.2023;32975;32475
14.08.2023;32975;32475
11.08.2023;32990;32490
10.08.2023;32985;32485
09.08.2023;32975;32475
08.08.2023;32975;32475
07.08.2023;32975;32475
04.08.2023;32990;32490
03.08.2023;32985;32485
02.08.2023;32975;32475
01.08.2023;32975;32475
31.07.2023;32975;32475
28.07.2023;32990;32490
27.07.2023;32985;32485
26.07.2023;32975;32475
25.07.2023;32975;32475
24.07.2023;32975;32475
21.07.2023;32990;32490
20.07.2023;32985;32485
19.07.2023;32975;32475
18.07.2023;32975;32475
17.07.2023;32975;32475
14.07.2023;32995;32495
13.07.2023;32990;32490
12.07.2023;32980;32480
11.07.2023;32980;32480
10.07.2023;32980;32480
07.07.2023;32995;32495
06.07.2023;32990;32490
05.07.2023;32980;32480
04.07.2023;32980;32480
03.07.2023;32980;32480
30.06.2023;30960;30460
29.06.2023;29095;28595
28.06.2023;29085;28585
27.06.2023;29085;28585
26.06.2023;29085;28585
23.06.2023;29100;28600
22.06.2023;29095;28595
21.06.2023;29085;28585
20.06.2023;29085;28585
19.06.2023;29085;28585
16.06.2023;29095;28595
15.06.2023;29095;28595
14.06.2023;29085;28585
13.06.2023;29085;28585
12.06.2023;29085;28585
09.06.2023;29095;28595
08.06.2023;29090;28590
07.06.2023;29085;28585
06.06.2023;29085;28585
05.06.2023;29085;28585
02.06.2023;29095;28595
01.06.2023;29090;28590
31.05.2023;29085;28585
30.05.2023;29085;28585
26.05.2023;29755;29255
25.05.2023;29765;29265
24.05.2023;34485;33985
23.05.2023;34485;33985
22.05.2023;34485;33985
19.05.2023;34495;33995
18.05.2023;34490;33990
17.05.2023;34485;33985
16.05.2023;34485;33985
15.05.2023;34485;33985
12.05.2023;34500;34000
11.05.2023;34495;33995
10.05.2023;34485;33985
09.05.2023;34485;33985
05.05.2023;34505;34005
04.05.2023;34500;34000
03.05.2023;34485;33985
02.05.2023;34485;33985
28.04.2023;34505;34005
27.04.2023;34505;34005
26.04.2023;34490;33990
25.04.2023;34490;33990
24.04.2023;34490;33990
21.04.2023;34500;34000
20.04.2023;34500;34000
19.04.2023;34488;33988
18.04.2023;34490;33990
17.04.2023;34490;33990
14.04.2023;34500;34000
13.04.2023;34500;34000
12.04.2023;34490;33990
11.04.2023;34495;33995
06.04.2023;34515;34015
05.04.2023;34515;34015
04.04.2023;34495;33995
03.04.2023;34500;34000
31.03.2023;34510;34010
30.03.2023;34510;34010
29.03.2023;34000;33500
28.03.2023;33750;33250
27.03.2023;33750;33250
24.03.2023;33765;33265
23.03.2023;33765;33265
22.03.2023;33755;33255
21.03.2023;33755;33255
20.03.2023;33755;33255
17.03.2023;33770;33270
16.03.2023;33765;33265
15.03.2023;33755;33255
14.03.2023;33755;33255
13.03.2023;33755;33255
10.03.2023;33765;33265
09.03.2023;33760;33260
08.03.2023;33750;33250
07.03.2023;33750;33250
06.03.2023;33750;33250
03.03.2023;33760;28500
02.03.2023;33755;28500
01.03.2023;33745;33245
28.02.2023;33745;33245
27.02.2023;33760;33260
24.02.2023;33760;33260
23.02.2023;33760;33260
22.02.2023;35260;34760
21.02.2023;35255;34755
20.02.2023;35260;34760
17.02.2023;35265;34765
16.02.2023;35270;34770
15.02.2023;35255;34755
14.02.2023;38480;37980
13.02.2023;38495;37995
10.02.2023;38500;38000
09.02.2023;38500;38000
08.02.2023;38485;37985
07.02.2023;38480;37980
06.02.2023;38495;37995
03.02.2023;41265;40765
02.02.2023;41265;40765
01.02.2023;48565;48065
31.01.2023;48580;48080
30.01.2023;48575;48075
27.01.2023;48575;48075
26.01.2023;48575;48075
25.01.2023;48565;48065
24.01.2023;48565;48065
23.01.2023;48560;48060
20.01.2023;48575;48075
19.01.2023;48575;48075
18.01.2023;48560;48060
17.01.2023;48560;48060
16.01.2023;48555;48055
13.01.2023;48570;48070
12.01.2023;48570;48070
11.01.2023;48555;48055
10.01.2023;48550;48050
09.01.2023;48545;48045
