Date;Close Price;;;;;
7/9/19;26647;;;;;
7/8/19;28600;;;;;
7/5/19;28600;;;;;
7/4/19;28600;;;;;
7/3/19;28600;;;;;
7/2/19;28600;;;;;
7/1/19;28600;;;;;
6/28/19;28600;;;;;
6/27/19;28720;;;;;
6/26/19;27860;;;;;
6/25/19;28000;;;;;
6/24/19;28000;;;;;
6/21/19;28000;;;;;
6/20/19;28000;;;;;
6/19/19;28000;;;;;
6/18/19;28000;;;;;
6/17/19;28000;;;;;
6/14/19;28000;;;;;
6/13/19;28000;;;;;
6/12/19;28000;;;;;
6/11/19;28000;;;;;
6/10/19;28000;;;;;
6/7/19;28000;;;;;
6/6/19;31000;;;;;
6/5/19;32000;;;;;
6/4/19;32000;;;;;
6/3/19;32000;;;;;
5/31/19;32000;;;;;
5/30/19;33500;;;;;
5/29/19;33500;;;;;
5/28/19;33500;;;;;
5/24/19;33500;;;;;
5/23/19;34250;;;;;
5/22/19;34250;;;;;
5/21/19;34500;;;;;
5/20/19;34500;;;;;
5/17/19;34500;;;;;
5/16/19;34500;;;;;
5/15/19;34500;;;;;
5/14/19;34500;;;;;
5/13/19;34500;;;;;
5/10/19;34500;;;;;
5/9/19;34500;;;;;
5/8/19;34500;;;;;
5/7/19;34500;;;;;
5/3/19;34500;;;;;
5/2/19;34500;;;;;
5/1/19;34500;;;;;
4/30/19;34500;;;;;
4/29/19;34500;;;;;
4/26/19;34500;;;;;
4/25/19;34500;;;;;
4/24/19;34500;;;;;
4/23/19;34500;;;;;
4/18/19;35000;;;;;
4/17/19;35000;;;;;
4/16/19;34500;;;;;
4/15/19;35000;;;;;
4/12/19;34500;;;;;
4/11/19;34500;;;;;
4/10/19;33000;;;;;
4/9/19;33000;;;;;
4/8/19;32000;;;;;
4/5/19;32000;;;;;
4/4/19;31500;;;;;
4/3/19;31500;;;;;
4/2/19;31500;;;;;
4/1/19;30000;;;;;
3/29/19;30000;;;;;
3/28/19;30000;;;;;
3/27/19;30000;;;;;
3/26/19;30000;;;;;
3/25/19;30000;;;;;
3/22/19;30000;;;;;
3/21/19;30000;;;;;
3/20/19;30000;;;;;
3/19/19;31000;;;;;
3/18/19;30000;;;;;
3/15/19;30000;;;;;
3/14/19;31000;;;;;
3/13/19;32000;;;;;
3/12/19;32000;;;;;
3/11/19;32000;;;;;
3/8/19;33000;;;;;
3/7/19;35000;;;;;
3/6/19;33000;;;;;
3/5/19;33000;;;;;
3/4/19;33000;;;;;
3/1/19;33000;;;;;
2/28/19;33000;;;;;
2/27/19;32000;;;;;
2/26/19;32000;;;;;
2/25/19;32000;;;;;
2/22/19;31000;;;;;
2/21/19;31000;;;;;
2/20/19;31000;;;;;
2/19/19;31000;;;;;
2/18/19;31000;;;;;
2/15/19;31000;;;;;
2/14/19;31000;;;;;
2/13/19;32000;;;;;
2/12/19;32000;;;;;
2/11/19;32000;;;;;
2/8/19;33000;;;;;
2/7/19;33000;;;;;
2/6/19;33000;;;;;
2/5/19;33000;;;;;
2/4/19;34000;;;;;
2/1/19;34000;;;;;
1/31/19;34000;;;;;
1/30/19;36000;;;;;
1/29/19;36500;;;;;
1/28/19;38000;;;;;
1/25/19;38000;;;;;
1/24/19;38000;;;;;
1/23/19;38000;;;;;
1/22/19;38000;;;;;
1/21/19;38000;;;;;
1/18/19;38000;;;;;
1/17/19;40000;;;;;
1/16/19;40000;;;;;
1/15/19;45000;;;;;
1/14/19;40000;;;;;
1/11/19;42000;;;;;
1/10/19;45000;;;;;
1/9/19;44000;;;;;
1/8/19;44000;;;;;
1/7/19;44000;;;;;
1/4/19;45000;;;;;
1/3/19;47000;;;;;
1/2/19;47000;;;;;
12/31/18;55000;;;;;
12/28/18;55000;;;;;
12/27/18;55000;;;;;
12/24/18;55000;;;;;
12/21/18;55000;;;;;
12/20/18;55000;;;;;
12/19/18;55000;;;;;
12/18/18;57000;;;;;
12/17/18;58000;;;;;
12/14/18;55000;;;;;
