Date,XLIX5,XLIJ5,diff,diff_ma5
2024-07-08,14.74,13.87,0.870000000000001,0.8819999999999997
2024-07-09,14.71,13.53,1.1800000000000015,0.986
2024-07-10,14.74,13.86,0.8800000000000008,0.9700000000000003
2024-07-11,14.74,13.59,1.1500000000000004,1.0080000000000005
2024-07-12,14.49,13.71,0.7799999999999994,0.9720000000000006
2024-07-15,14.43,13.91,0.5199999999999996,0.9020000000000004
2024-07-16,14.43,13.55,0.879999999999999,0.8419999999999999
2024-07-17,14.43,13.36,1.0700000000000003,0.8799999999999997
2024-07-18,14.43,13.32,1.1099999999999994,0.8719999999999996
2024-07-19,14.43,13.25,1.1799999999999997,0.9519999999999996
2024-07-22,14.84,13.25,1.5899999999999999,1.1659999999999997
2024-07-23,14.88,13.66,1.2200000000000006,1.234
2024-07-24,14.92,13.66,1.2599999999999998,1.2719999999999998
2024-07-25,14.88,13.66,1.2200000000000006,1.294
2024-07-26,14.88,13.68,1.200000000000001,1.2980000000000005
2024-07-29,14.85,13.89,0.9599999999999991,1.1720000000000002
2024-07-30,14.75,13.81,0.9399999999999995,1.116
2024-07-31,14.46,13.75,0.7100000000000009,1.0060000000000002
2024-08-01,14.41,13.57,0.8399999999999999,0.93
2024-08-02,14.41,13.18,1.2300000000000004,0.9359999999999999
2024-08-05,14.41,13.47,0.9399999999999995,0.932
2024-08-06,14.41,13.37,1.040000000000001,0.9520000000000003
2024-08-07,14.17,13.37,0.8000000000000007,0.9700000000000003
2024-08-08,14.03,13.4,0.629999999999999,0.9280000000000002
2024-08-09,13.93,13.16,0.7699999999999996,0.836
2024-08-12,13.82,13.13,0.6899999999999995,0.7859999999999999
2024-08-13,13.82,13.03,0.7900000000000009,0.736
2024-08-14,13.31,13.03,0.28000000000000114,0.632
2024-08-15,13.2,12.68,0.5199999999999996,0.6100000000000001
2024-08-16,13.14,12.55,0.5899999999999999,0.5740000000000002
2024-08-19,13.14,12.4,0.7400000000000002,0.5840000000000003
2024-08-20,13.13,12.59,0.5400000000000009,0.5340000000000004
2024-08-21,13.26,12.62,0.6400000000000006,0.6060000000000002
2024-08-22,13.26,12.55,0.7099999999999991,0.6440000000000001
2024-08-23,13.24,12.51,0.7300000000000004,0.6720000000000003
2024-08-26,13.28,12.68,0.5999999999999996,0.6440000000000001
2024-08-27,13.28,12.71,0.5699999999999985,0.6499999999999997
2024-08-28,13.31,12.57,0.7400000000000002,0.6699999999999996
2024-08-29,13.31,12.61,0.7000000000000011,0.6679999999999999
2024-08-30,13.42,12.61,0.8100000000000005,0.6839999999999999
2024-09-02,13.42,12.89,0.5299999999999994,0.6699999999999999
2024-09-03,13.25,12.89,0.35999999999999943,0.6280000000000001
2024-09-04,13.07,12.54,0.5300000000000011,0.5860000000000003
2024-09-05,12.3,12.37,0.06999999999999851,0.4599999999999998
2024-09-06,11.9,12.13,0.23000000000000043,0.34399999999999975
2024-09-09,12.32,11.77,0.5500000000000007,0.34800000000000003
2024-09-10,12.68,11.72,0.9599999999999991,0.46799999999999997
2024-09-11,13.5,12.33,1.17,0.5959999999999998
2024-09-12,13.14,12.67,0.47000000000000064,0.6760000000000002
2024-09-13,13.21,12.64,0.5700000000000003,0.7440000000000001
2024-09-16,13.21,12.48,0.7300000000000004,0.78
2024-09-17,13.21,12.39,0.8200000000000003,0.7520000000000003
2024-09-18,13.21,12.37,0.8400000000000016,0.6860000000000006
2024-09-19,13.24,12.36,0.8800000000000008,0.7680000000000007
