Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
29-Nov-2023;68 360;+330;+0%;68 080;68 080;68 580;28 040;68 300;68 310
28-Nov-2023;68 030;-200;-0%;68 160;67 920;68 210;31 949;67 950;67 960
27-Nov-2023;68 230;+50;+0%;68 200;67 980;68 410;29 000;68 300;68 320
24-Nov-2023;68 180;+200;+0%;68 130;68 040;68 320;35 777;68 260;68 270
23-Nov-2023;67 980;-190;-0%;68 020;67 800;68 160;38 794;68 020;68 030
22-Nov-2023;68 170;-90;-0%;68 030;68 010;68 400;48 669;68 090;68 110
21-Nov-2023;68 260;+360;+1%;68 010;67 880;68 550;61 126;68 260;68 280
20-Nov-2023;67 900;+100;+0%;67 820;67 690;68 070;54 061;67 910;67 920
17-Nov-2023;67 800;-20;-0%;67 870;67 500;68 020;63 363;67 910;67 920
16-Nov-2023;67 820;-350;-1%;67 940;67 700;67 990;53 799;67 830;67 850
15-Nov-2023;68 170;+430;+1%;67 780;67 780;68 680;7 605;67 650;68 500
14-Nov-2023;67 740;+450;+1%;67 600;67 540;67 840;11 645;67 780;67 840
13-Nov-2023;67 290;-180;-0%;67 470;67 000;67 510;17 475;67 470;67 510
10-Nov-2023;67 470;+50;+0%;67 450;67 360;67 690;16 620;67 510;67 530
09-Nov-2023;67 420;-80;-0%;67 600;67 340;67 730;17 525;67 470;67 480
08-Nov-2023;67 500;-190;-0%;67 300;67 300;67 720;20 365;67 650;67 680
07-Nov-2023;67 690;+140;+0%;67 800;67 520;67 900;15 220;67 530;67 580
06-Nov-2023;67 550;-250;-0%;67 710;67 390;67 720;17 340;67 700;67 710
03-Nov-2023;67 800;+220;+0%;67 610;67 510;67 930;16 510;67 840;67 910
02-Nov-2023;67 580;+230;+0%;67 580;67 400;67 790;15 310;67 500;67 510
01-Nov-2023;67 350;-130;-0%;67 430;67 230;67 560;15 488;67 350;67 380
31-Oct-2023;67 480;+80;+0%;67 930;67 260;67 950;27 241;67 410;67 450
30-Oct-2023;67 400;+700;+1%;67 220;67 210;67 530;34 033;67 410;67 420
27-Oct-2023;66 700;+30;+0%;66 740;66 500;67 010;38 858;66 980;67 010
26-Oct-2023;66 670;-270;-0%;66 900;66 500;66 940;31 634;66 660;66 690
25-Oct-2023;66 940;+600;+1%;66 600;66 500;67 180;54 825;66 980;67 000
24-Oct-2023;66 340;+300;+0%;66 030;65 990;66 650;51 663;66 600;66 610
23-Oct-2023;66 040;-420;-1%;66 190;65 790;66 470;56 028;65 830;65 840
20-Oct-2023;66 460;-30;-0%;66 650;66 090;66 760;59 692;66 150;66 160
19-Oct-2023;66 490;0;0%;66 620;66 220;66 780;53 266;66 470;66 480
18-Oct-2023;66 490;+320;+0%;65 880;65 880;66 900;71 210;66 690;66 700
17-Oct-2023;66 170;-160;-0%;66 560;65 850;66 580;74 591;65 870;65 880
16-Oct-2023;66 330;-100;-0%;66 300;65 900;66 570;3 460;66 520;66 620
13-Oct-2023;66 430;-270;-0%;66 700;66 180;66 800;9 175;66 450;66 500
12-Oct-2023;66 700;-70;-0%;66 950;66 580;66 990;15 045;66 970;66 990
11-Oct-2023;66 770;-230;-0%;66 340;66 300;66 980;23 770;66 940;66 990
10-Oct-2023;67 000;-460;-1%;67 300;66 500;67 370;26 635;66 530;66 580
09-Oct-2023;67 460;+120;+0%;67 240;67 240;67 550;30 082;67 490;67 520
28-Sep-2023;67 340;-20;-0%;67 270;67 160;67 520;29 133;67 400;67 460
27-Sep-2023;67 360;-340;-1%;67 360;67 180;67 630;38 206;67 180;67 200
26-Sep-2023;67 700;-340;-0%;67 990;67 370;68 050;51 986;67 380;67 390
25-Sep-2023;68 040;+70;+0%;68 170;67 790;68 420;52 259;67 860;67 870
22-Sep-2023;67 970;-730;-1%;67 500;67 500;68 260;93 765;68 210;68 240
21-Sep-2023;68 700;-60;-0%;68 890;68 510;69 110;64 936;68 520;68 530
20-Sep-2023;68 760;-220;-0%;68 660;68 600;68 900;61 681;68 740;68 760
19-Sep-2023;68 980;-380;-1%;69 300;68 750;69 350;81 353;68 780;68 790
18-Sep-2023;69 360;-440;-1%;69 490;69 210;69 520;67 113;69 430;69 450
15-Sep-2023;69 800;+320;+0%;69 700;68 970;70 200;5 735;68 970;70 100
14-Sep-2023;69 480;+140;+0%;69 320;69 270;69 720;13 695;69 680;69 700
13-Sep-2023;69 340;-190;-0%;69 420;69 240;69 480;16 045;69 300;69 360
12-Sep-2023;69 530;+480;+1%;69 480;69 370;69 700;20 560;69 410;69 420
11-Sep-2023;69 050;-80;-0%;68 880;68 760;69 370;24 850;69 330;69 370
08-Sep-2023;69 130;-310;-0%;69 100;69 030;69 280;24 335;69 060;69 080
07-Sep-2023;69 440;-350;-1%;69 590;69 310;69 640;22 800;69 500;69 510
06-Sep-2023;69 790;+190;+0%;69 550;69 550;70 040;19 675;69 750;69 800
05-Sep-2023;69 600;-380;-1%;69 610;69 340;69 770;23 175;69 360;69 390
04-Sep-2023;69 980;+160;+0%;70 460;69 650;70 530;22 365;69 680;69 720
01-Sep-2023;69 820;+80;+0%;69 770;69 470;70 070;24 582;70 040;70 080
31-Aug-2023;69 740;+210;+0%;69 810;69 600;69 900;28 185;69 770;69 790
30-Aug-2023;69 530;+210;+0%;69 190;69 190;69 750;33 133;69 580;69 610
29-Aug-2023;69 320;+140;+0%;69 040;69 040;69 490;30 025;69 410;69 420
28-Aug-2023;69 180;+150;+0%;69 160;68 820;69 570;41 396;69 120;69 130
25-Aug-2023;69 030;-240;-0%;68 990;68 880;69 200;43 792;69 140;69 150
24-Aug-2023;69 270;+210;+0%;69 020;69 020;69 490;54 241;69 080;69 090
23-Aug-2023;69 060;+520;+1%;68 760;68 760;69 300;54 904;69 120;69 130
22-Aug-2023;68 540;+110;+0%;68 530;68 350;68 850;54 165;68 670;68 690
21-Aug-2023;68 430;+130;+0%;68 120;68 010;68 670;60 816;68 480;68 500
18-Aug-2023;68 300;+490;+1%;68 320;67 970;68 550;62 392;68 000;68 010
17-Aug-2023;67 810;-60;-0%;67 560;67 560;68 100;73 127;67 980;67 990
16-Aug-2023;67 870;-470;-1%;68 020;67 550;68 190;101 573;67 550;67 560
15-Aug-2023;68 340;+250;+0%;68 060;68 060;68 820;4 320;68 400;68 890
14-Aug-2023;68 090;-430;-1%;68 050;67 970;72 630;14 390;68 010;68 200
11-Aug-2023;68 520;-70;-0%;68 790;68 350;68 950;16 430;68 330;68 380
10-Aug-2023;68 590;+160;+0%;68 740;68 500;68 870;17 625;68 670;68 790
09-Aug-2023;68 430;-600;-1%;68 390;67 960;68 850;28 280;68 740;68 800
08-Aug-2023;69 030;-70;-0%;69 280;68 880;69 360;25 430;68 900;69 010
07-Aug-2023;69 100;-390;-1%;69 190;68 980;69 330;23 110;69 140;69 160
04-Aug-2023;69 490;+360;+1%;69 020;68 980;69 790;18 355;69 490;69 570
03-Aug-2023;69 130;-720;-1%;69 250;68 920;69 350;27 260;69 020;69 050
02-Aug-2023;69 850;-850;-1%;70 440;69 510;70 440;23 505;69 530;69 590
01-Aug-2023;70 700;+1 130;+2%;70 260;70 200;71 050;30 468;70 710;70 730
31-Jul-2023;69 570;+630;+1%;69 250;69 250;69 850;37 042;69 690;69 710
28-Jul-2023;68 940;-320;-0%;68 960;68 790;69 210;32 744;69 180;69 190
27-Jul-2023;69 260;+50;+0%;69 000;68 880;69 500;38 617;69 060;69 110
26-Jul-2023;69 210;+430;+1%;69 240;69 010;69 440;49 927;69 180;69 200
25-Jul-2023;68 780;+410;+1%;68 290;68 240;69 100;69 614;69 040;69 060
24-Jul-2023;68 370;-260;-0%;68 410;68 250;68 530;65 924;68 290;68 300
21-Jul-2023;68 630;+110;+0%;68 960;68 370;68 970;60 712;68 720;68 730
20-Jul-2023;68 520;+50;+0%;68 450;68 340;68 730;62 899;68 490;68 500
19-Jul-2023;68 470;+40;+0%;68 270;68 260;68 790;54 529;68 770;68 780
18-Jul-2023;68 430;-990;-1%;68 270;68 130;68 690;77 733;68 520;68 530
17-Jul-2023;69 420;-340;-0%;69 520;68 910;69 900;4 860;68 500;69 050
14-Jul-2023;69 760;+1 000;+1%;69 050;69 050;69 980;12 295;69 470;69 600
13-Jul-2023;68 760;+710;+1%;68 440;68 400;69 000;14 945;68 880;68 900
12-Jul-2023;68 050;-300;-0%;68 120;67 880;68 150;21 820;68 020;68 130
11-Jul-2023;68 350;+130;+0%;68 040;68 010;68 550;22 890;68 370;68 380
10-Jul-2023;68 220;+110;+0%;68 180;68 010;68 510;26 625;68 070;68 090
07-Jul-2023;68 110;-100;-0%;68 180;67 940;68 350;25 045;68 000;68 190
06-Jul-2023;68 210;-60;-0%;68 050;68 010;68 510;20 855;68 150;68 200
05-Jul-2023;68 270;-290;-0%;68 330;68 140;68 430;16 790;68 110;68 140
04-Jul-2023;68 560;-50;-0%;68 740;68 360;68 810;17 435;68 450;68 470
03-Jul-2023;68 610;+1 080;+2%;67 940;67 940;68 850;25 251;68 660;68 680
30-Jun-2023;67 530;-140;-0%;67 200;67 080;67 940;40 893;67 750;67 890
29-Jun-2023;67 670;-410;-1%;67 750;67 520;67 800;48 163;67 600;67 620
28-Jun-2023;68 080;-340;-0%;68 100;67 950;68 260;50 230;68 040;68 050
27-Jun-2023;68 420;-80;-0%;68 480;68 080;68 670;61 271;68 450;68 470
26-Jun-2023;68 500;-510;-1%;68 430;68 230;68 770;75 110;68 490;68 500
21-Jun-2023;69 010;+470;+1%;68 880;68 680;69 370;86 581;68 930;68 940
20-Jun-2023;68 540;+40;+0%;68 660;68 350;68 780;57 764;68 560;68 570
19-Jun-2023;68 500;+80;+0%;68 630;68 270;68 800;75 705;68 450;68 460
16-Jun-2023;68 420;+290;+0%;68 250;68 140;68 740;82 419;68 600;68 630
15-Jun-2023;68 130;+20;+0%;68 230;68 000;68 370;4 655;67 800;68 110
14-Jun-2023;68 110;+830;+1%;68 080;67 910;68 250;10 845;67 930;68 050
13-Jun-2023;67 280;+170;+0%;67 020;66 850;67 650;13 795;67 540;67 600
12-Jun-2023;67 110;+50;+0%;67 480;66 950;67 750;17 940;67 020;67 030
09-Jun-2023;67 060;+200;+0%;66 850;66 840;67 290;17 675;67 260;67 290
08-Jun-2023;66 860;-60;-0%;66 950;66 620;67 330;18 370;66 800;66 850
07-Jun-2023;66 920;+180;+0%;66 740;66 650;67 150;16 650;66 710;66 800
06-Jun-2023;66 740;+690;+1%;66 260;66 260;67 000;20 620;66 630;66 740
05-Jun-2023;66 050;-50;-0%;66 720;65 820;66 790;15 945;65 970;66 000
02-Jun-2023;66 100;+530;+1%;65 870;65 670;66 540;20 530;66 340;66 480
01-Jun-2023;65 570;+570;+1%;64 900;64 780;65 970;23 537;65 900;65 940
31-May-2023;65 000;-160;-0%;65 220;64 790;65 300;24 411;65 070;65 100
30-May-2023;65 160;-10;-0%;65 480;64 700;65 560;31 129;65 010;65 020
