Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2018-07-13,48490.0,+50,+0%,48 600,48 310,48 700,5 580,48 120,48 440
2018-07-16,48680.0,+190,+0%,48 410,48 000,48 930,4 730,48 300,48 550
2018-07-17,48740.0,+60,+0%,48 580,48 380,49 000,39 216,48 680,48 710
2018-07-18,48380.0,-360,-1%,48 570,48 040,48 650,47 030,48 170,48 190
2018-07-19,48640.0,+260,+1%,48 130,48 070,49 030,43 313,48 570,48 590
2018-07-20,48290.0,-350,-1%,48 060,47 930,48 660,41 714,48 540,48 580
2018-07-23,48770.0,+480,+1%,48 650,48 520,49 050,37 753,48 920,48 960
2018-07-24,49170.0,+400,+1%,49 080,48 860,49 380,30 722,49 230,49 280
2018-07-25,49910.0,+740,+2%,49 570,49 570,50 140,37 562,49 800,49 810
2018-07-26,49910.0,0,0%,49 850,49 660,50 160,26 593,49 990,50 000
2018-07-27,49950.0,+40,+0%,49 850,49 720,50 100,24 228,49 950,50 000
2018-07-30,49740.0,-210,-0%,50 010,49 250,50 280,28 686,49 280,49 300
2018-07-31,49690.0,-50,-0%,49 610,49 470,49 880,20 540,49 700,49 760
2018-08-01,49820.0,+130,+0%,49 690,49 510,50 060,12 675,49 740,49 770
2018-08-02,49090.0,-730,-1%,49 450,48 680,49 450,19 050,49 160,49 240
2018-08-03,49140.0,+50,+0%,49 100,48 970,49 250,12 960,49 130,49 180
2018-08-06,49220.0,+80,+0%,49 400,49 010,49 710,13 785,49 200,49 230
2018-08-07,49290.0,+70,+0%,49 020,48 930,49 490,17 225,49 400,49 420
2018-08-08,49440.0,+150,+0%,49 400,49 300,49 580,12 500,49 360,49 380
2018-08-09,49600.0,+160,+0%,49 340,49 230,49 870,14 555,49 750,49 860
2018-08-10,49620.0,+20,+0%,49 880,49 400,49 970,15 210,49 460,49 470
2018-08-13,49550.0,-70,-0%,49 530,49 450,49 700,10 820,49 660,49 700
2018-08-14,49480.0,-70,-0%,49 660,49 320,49 820,5 845,49 430,49 460
2018-08-15,48680.0,-800,-2%,49 410,48 260,49 410,4 105,48 460,48 680
