date,ATKLICAR,ATKLIOH,INOLIRLCAIGRCND,INOLIRLHYBGRCND,SLICFc1,SLIHFc1,SMM-LIB-GRD,SMM-LICB-BG,TLCc1
2022-08-16,480500.0,480000.0,46.5,47.4,,,,,
2022-08-17,480500.0,480000.0,46.5,47.4,,,,,
2022-08-18,480500.0,480000.0,46.5,47.4,,,,,
2022-08-19,480500.0,480000.0,46.6,47.5,,,,,
2022-08-22,480500.0,480000.0,47.0,47.5,,,,,
2022-08-23,480500.0,480000.0,47.0,47.5,,,,,
2022-08-24,480500.0,480000.0,47.25,47.5,,,,,
2022-08-25,490000.0,482500.0,47.25,47.5,,,,,
2022-08-26,490000.0,482500.0,47.25,47.5,,,,,
2022-08-29,490000.0,482500.0,47.45,47.5,,,,,
2022-08-30,490000.0,482500.0,47.55,47.5,,,,,
2022-08-31,492500.0,487500.0,47.55,47.5,,,,,
2022-09-01,495000.0,490000.0,47.55,47.5,,,,,
2022-09-02,495000.0,490000.0,47.55,47.5,,,,,
2022-09-05,495000.0,494000.0,48.5,48.0,,,,,
2022-09-06,496000.0,494000.0,48.5,48.0,,,,,
2022-09-07,496000.0,494000.0,48.5,48.0,,,,,
2022-09-08,496000.0,494000.0,48.5,48.0,,,,,
2022-09-09,497000.0,497000.0,48.5,48.0,,,,,
2022-09-13,,,48.7,48.1,,,,,
2022-09-14,497000.0,497000.0,48.7,48.1,,,,,
2022-09-15,497000.0,490000.0,48.7,48.1,,,,,
2022-09-16,497000.0,490000.0,48.7,48.1,,,,,
2022-09-19,497000.0,490000.0,48.8,48.2,,,,,
2022-09-20,504000.0,490000.0,48.8,48.2,,,,,
2022-09-21,504000.0,490000.0,,,,,,,
2022-09-22,504000.0,494000.0,,,,,,,
2022-09-23,504000.0,494000.0,,,,,,,
2022-09-26,504000.0,494000.0,49.2,49.5,74.25,74.25,,,
2022-09-27,504000.0,494000.0,49.5,49.7,74.25,73.5,,,
2022-09-28,504000.0,494000.0,49.7,50.0,73.75,73.5,,,
2022-09-29,510000.0,500000.0,50.0,50.5,75.75,73.5,,,
2022-09-30,,,50.0,50.5,76.0,75.0,,,
2022-10-03,,,,,75.75,79.5,,,
2022-10-04,,,,,75.75,79.5,,,
2022-10-05,,,,,77.0,80.0,,,
2022-10-06,,,,,75.75,79.5,,,
2022-10-07,,,,,75.75,79.5,,,
2022-10-10,525000.0,510000.0,50.5,51.5,75.75,79.5,,,
2022-10-11,525000.0,510000.0,50.5,51.5,75.75,75.0,,,
2022-10-12,525000.0,510000.0,51.0,51.7,75.75,75.0,,,
2022-10-13,525000.0,510000.0,51.0,52.0,75.75,75.0,,,
2022-10-14,525000.0,510000.0,51.2,52.5,75.75,75.0,,,
2022-10-17,528000.0,522500.0,51.2,52.5,75.75,75.0,,,
2022-10-18,528000.0,522500.0,51.5,53.0,75.75,75.0,,,
2022-10-19,528000.0,522500.0,51.5,53.0,75.75,75.0,,,
2022-10-20,530000.0,527500.0,52.0,53.5,75.6,74.84,,,
2022-10-21,530000.0,527500.0,52.0,53.5,76.13,75.4,,,
2022-10-24,535000.0,531500.0,52.0,53.5,75.98,75.38,,,
2022-10-25,535000.0,531500.0,53.5,54.5,76.12,75.38,,,
2022-10-26,535000.0,531500.0,53.5,54.5,76.12,75.38,,,
2022-10-27,545000.0,540500.0,54.0,55.0,76.15,75.38,,,
2022-10-28,545000.0,540500.0,54.5,55.0,76.13,75.38,,,
2022-10-31,557000.0,550000.0,55.0,,77.74,80.76,,,
2022-11-01,565000.0,555000.0,55.5,,76.75,76.0,,,
2022-11-02,,,56.0,56.2,77.25,76.5,,,
2022-11-03,,,56.0,56.2,77.25,76.5,,,
