Date,Price_Dailymetal,Price_COMEX,Price_SA_LOB,Price_LAC,Price_EA_Carbonate,Price_EA_Carbonate_Batt
2017-08-25,23.997,14.0,13.5227,10.13,37.75,43.7
2017-08-28,23.997,14.0,13.5795,10.13,37.75,43.7
2017-08-29,23.997,14.0,13.6364,10.13,37.75,43.7
2017-08-30,23.997,14.0,13.6932,10.13,37.75,43.7
2017-08-31,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-01,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-04,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-05,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-06,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-07,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-08,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-11,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-12,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-13,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-14,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-15,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-18,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-19,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-20,25.074,14.0,13.75,10.13,37.75,43.7
