"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY";"CODALY_BD";"CUDALY_BD";"LIDALY_BD";"NIDALY_BD"
"228";2018-10-11;26,308;2,7905;11,998;5,6291;0;0;0;0
"229";2018-10-12;28,123;2,8681;11,998;5,7629;0;0;0;0
"230";2018-10-15;28,123;2,8549;11,998;5,7357;0;0;0;0
"231";2018-10-16;28,123;2,813;11,998;5,6382;0;0;0;0
"232";2018-10-17;28,123;2,834;11,998;5,6404;0;0;0;0
"233";2018-10-18;27,556;2,7873;11,998;5,5043;0;0;0;0
"234";2018-10-19;27,329;2,8082;11,998;5,654;0;0;0;0
"235";2018-10-22;27,329;2,8499;11,998;5,6472;0;0;0;0
"236";2018-10-23;27,329;2,7971;11,998;5,5905;0;0;0;0
"237";2018-10-24;27,216;2,8186;11,998;5,5747;0;0;0;0
"238";2018-10-25;27,329;2,8164;11,998;5,5021;0;0;0;0
"239";2018-10-26;27,329;2,7932;11,998;5,366;0;0;0;0
"240";2018-10-29;26,989;2,8386;11,998;5,3161;0;0;0;0
"241";2018-10-30;26,989;2,7828;11,998;5,3048;0;0;0;0
"242";2018-10-31;26,989;2,6635;11,998;5,1825;0;0;0;0
"243";2018-11-01;23,7;2,7524;12,306;5,239;0;0;1;0
"244";2018-11-02;20,185;2,8368;12,306;5,425;0;0;1;0
"245";2018-11-05;20,979;2,8297;12,306;5,2934;0;0;1;0
"246";2018-11-06;22,68;2,8143;12,306;5,3569;0;0;1;0
"247";2018-11-07;23,587;2,8159;12,306;5,2889;0;0;1;0
"248";2018-11-08;24,948;2,7828;12,306;5,2662;0;0;0;0
"249";2018-11-09;22,906;2,761;12,306;5,1982;0;0;0;0
"250";2018-11-12;22,566;2,7592;12,306;5,1165;0;0;0;0
"251";2018-11-13;22,906;2,7792;12,306;5,1528;0;0;0;0
"252";2018-11-14;24,948;2,7692;12,306;5,0893;0;0;0;0
"253";2018-11-15;24,721;2,8064;12,306;5,1415;0;0;0;0
"254";2018-11-16;24,721;2,8034;12,306;5,1143;0;0;0;0
"255";2018-11-19;24,834;2,839;12,306;5,0757;0;0;0;0
"256";2018-11-20;24,834;2,8395;12,306;5,0712;0;0;0;0
"257";2018-11-21;24,834;2,8309;12,306;5,0235;0;0;0;0
"258";2018-11-22;24,948;2,8327;12,306;4,9736;0;0;0;0
"259";2018-11-23;24,834;2,8164;12,306;4,8534;0;0;0;0
"260";2018-11-26;24,834;2,8327;12,306;4,8829;0;0;0;0
"261";2018-11-27;24,834;2,798;12,306;4,8534;0;0;0;0
"262";2018-11-28;24,834;2,796;12,306;4,8655;0;0;0;0
"263";2018-11-29;24,948;2,8486;12,306;4,9374;0;0;0;0
"264";2018-11-30;24,834;2,8291;12,306;4,9941;0;0;0;0
"265";2018-12-03;24,834;2,8604;12,306;5,0757;0;0;0;0
"266";2018-12-04;24,834;2,7485;12,306;5,026;0;0;0;0
"267";2018-12-05;24,834;2,7946;12,306;4,9963;0;0;0;0
"268";2018-12-06;24,834;2,7714;12,306;4,9215;0;0;0;0
"269";2018-12-07;24,834;2,7996;12,306;4,9033;0;0;0;0
"270";2018-12-10;24,834;2,7714;12,306;4,867;0;0;0;0
"271";2018-12-11;24,834;2,7953;12,306;4,8807;0;0;0;0
"272";2018-12-12;24,834;2,7896;12,306;4,8602;0;0;0;0
"273";2018-12-13;24,834;2,81;12,306;4,8965;0;0;0;0
"274";2018-12-14;24,834;2,7683;12,306;4,867;0;0;0;0
"275";2018-12-17;22,68;2,7646;12,306;4,9578;0;0;0;0
"276";2018-12-18;25,855;2,7408;12,306;4,9351;0;0;0;0
"277";2018-12-19;24,948;2,7215;12,229;4,9296;0;0;0;0
"278";2018-12-20;24,494;2,7281;12,229;4,9351;0;0;0;0
"279";2018-12-21;24,494;2,7148;12,229;4,8875;0;0;0;0
"280";2018-12-24;24,721;2,6903;12,229;4,8943;0;0;0;0
