Date;Price
25. Apr 23;188
24. Apr 23;188
23. Apr 23;
21. Apr 23;189.5
20. Apr 23;191.8
19. Apr 23;193.1
18. Apr 23;193
17. Apr 23;187.5
16. Apr 23;
14. Apr 23;183
13. Apr 23;180.85
12. Apr 23;181.25
11. Apr 23;180.9
10. Apr 23;176.2
09. Apr 23;
07. Apr 23;178.75
06. Apr 23;176
05. Apr 23;175.2
04. Apr 23;176.65
03. Apr 23;180.35
02. Apr 23;
31-Mar-2023;178.1
30-Mar-2023;175.65
29-Mar-2023;178.5
28-Mar-2023;182.55
27-Mar-2023;179.45
26-Mar-2023;
24-Mar-2023;178.25
23-Mar-2023;174.05
22-Mar-2023;177.9
21-Mar-2023;173.4
20-Mar-2023;179.5
19-Mar-2023;
17-Mar-2023;176.9
16-Mar-2023;174.5
15-Mar-2023;177.5
14-Mar-2023;177.95
13-Mar-2023;179.55
12-Mar-2023;
10-Mar-2023;180.75
09-Mar-2023;187.4
08-Mar-2023;190.5
07-Mar-2023;188.6
06-Mar-2023;191.55
05-Mar-2023;
03-Mar-2023;192.5
02-Mar-2023;189.5
01-Mar-2023;193.8
28. Feb 23;194.7
27. Feb 23;199.2
26. Feb 23;
24. Feb 23;199
23. Feb 23;206
22. Feb 23;211.9
21. Feb 23;209.5
20. Feb 23;208
19. Feb 23;
17. Feb 23;199.1
16. Feb 23;204.9
15. Feb 23;207.8
14. Feb 23;209.5
13. Feb 23;210.2
12. Feb 23;
10. Feb 23;214.9
09. Feb 23;217
08. Feb 23;211.05
07. Feb 23;209.7
06. Feb 23;209.6
05. Feb 23;
03. Feb 23;218.85
02. Feb 23;222.65
01. Feb 23;220.15
31. Jan 23;223.9
30. Jan 23;222.95
29. Jan 23;
27. Jan 23;222.45
26. Jan 23;223.3
16. Jan 23;205
15. Jan 23;
13. Jan 23;205.65
12. Jan 23;207
11. Jan 23;212.05
10. Jan 23;214.5
09. Jan 23;214.35
08. Jan 23;
06. Jan 23;215.35
05. Jan 23;213.85
04. Jan 23;223.55
03. Jan 23;231.6
02. Jan 23;
30-Dec-2022;231.25
29-Dec-2022;226
28-Dec-2022;225.3
27-Dec-2022;225.75
26-Dec-2022;216.7
25-Dec-2022;
23-Dec-2022;221.9
22-Dec-2022;220.1
21-Dec-2022;215
20-Dec-2022;215.5
19-Dec-2022;221
18-Dec-2022;
16-Dec-2022;214.55
15-Dec-2022;217
14-Dec-2022;218.2
13-Dec-2022;220
12-Dec-2022;218.35
11-Dec-2022;
09-Dec-2022;219.8
08-Dec-2022;215.95
07-Dec-2022;210
06-Dec-2022;208.05
05-Dec-2022;205.15
04-Dec-2022;
02-Dec-2022;200
01-Dec-2022;199.45
30. Nov 22;197.8
29. Nov 22;196.65
28. Nov 22;191.4
27. Nov 22;
25. Nov 22;200
24. Nov 22;202
23. Nov 22;200.5
22. Nov 22;195
21. Nov 22;200
20. Nov 22;
18. Nov 22;195
17. Nov 22;208.1
16. Nov 22;203
15. Nov 22;205
14. Nov 22;202.75
13. Nov 22;
11. Nov 22;205.55
10. Nov 22;198.15
09. Nov 22;195.1
08. Nov 22;190.15
07. Nov 22;186.65
06. Nov 22;
04. Nov 22;189.45
03. Nov 22;188.1
02. Nov 22;189.35
01. Nov 22;185.25
31-Oct-2022;177.8
30-Oct-2022;
28-Oct-2022;180.3
27-Oct-2022;183.5
26-Oct-2022;183
25-Oct-2022;185.8
24-Oct-2022;186
23-Oct-2022;
21-Oct-2022;181.5
20-Oct-2022;188.2
19-Oct-2022;183.5
18-Oct-2022;182.5
17-Oct-2022;182.5
16-Oct-2022;
14-Oct-2022;181.95
13-Oct-2022;181.2
12-Oct-2022;179.9
11-Oct-2022;179.15
10-Oct-2022;181.05
09-Oct-2022;
07-Oct-2022;181.6
06-Oct-2022;180.9
05-Oct-2022;180.95
04-Oct-2022;179.9
03-Oct-2022;178.05
30. Sep 22;179.05
29. Sep 22;180.85
28. Sep 22;177
27. Sep 22;178.55
26. Sep 22;178.25
25. Sep 22;
23. Sep 22;190.1
22. Sep 22;192
21. Sep 22;192
25. Jul 22;166
24. Jul 22;
23. Jul 22;
22. Jul 22;159.6
21. Jul 22;159
20. Jul 22;159
19. Jul 22;160
18. Jul 22;160
17. Jul 22;
16. Jul 22;
15. Jul 22;154
14. Jul 22;162.5
13. Jul 22;164.45
12. Jul 22;166.1
11. Jul 22;166.65
10. Jul 22;
09. Jul 22;
08. Jul 22;166.05
07. Jul 22;164.65
06. Jul 22;163.65
05. Jul 22;164.75
04. Jul 22;169.4
03. Jul 22;
02. Jul 22;
01. Jul 22;166.55
30. Jun 22;171.4
29. Jun 22;173.6
28. Jun 22;170.4
27. Jun 22;168.75
26. Jun 22;
25. Jun 22;
24. Jun 22;185
23. Jun 22;190
22. Jun 22;199.3
21. Jun 22;199.5
20. Jun 22;198.8
19. Jun 22;
18. Jun 22;
17. Jun 22;198.6
16. Jun 22;201.05
15. Jun 22;199.7
14. Jun 22;199.7
13. Jun 22;203.4
12. Jun 22;
11. Jun 22;
10. Jun 22;209.9
09. Jun 22;211.25
08. Jun 22;212
