Date;Close;Change;PCT
23. Sep 22;51955;0;0
26. Sep 22;51955;0;0
27. Sep 22;51955;0;0
28. Sep 22;51955;0;0
29. Sep 22;51955;0;0
30. Sep 22;51955;0;0
03-Oct-2022;51955;0;0
04-Oct-2022;51955;0;0
05-Oct-2022;51955;0;0
06-Oct-2022;51955;0;0
07-Oct-2022;51955;0;0
10-Oct-2022;51955;0;0
11-Oct-2022;51955;0;0
12-Oct-2022;51955;0;0
13-Oct-2022;51955;0;0
14-Oct-2022;51955;0;0
17-Oct-2022;51955;0;0
18-Oct-2022;51955;0;0
19-Oct-2022;51955;0;0
20-Oct-2022;51955;0;0
21-Oct-2022;51955;0;0
24-Oct-2022;51955;0;0
25-Oct-2022;51955;0;0
26-Oct-2022;51955;0;0
27-Oct-2022;51955;0;0
28-Oct-2022;51955;0;0
31-Oct-2022;51955;0;0
01. Nov 22;51955;0;0
02. Nov 22;51955;0;0
03. Nov 22;51955;0;0
04. Nov 22;51955;0;0
07. Nov 22;51955;0;0
08. Nov 22;51955;0;0
09. Nov 22;51955;0;0
10. Nov 22;51955;0;0
11. Nov 22;51955;0;0
14. Nov 22;51955;0;0
15. Nov 22;51955;0;0
16. Nov 22;51955;0;0
17. Nov 22;51955;0;0
18. Nov 22;51955;0;0
21. Nov 22;51955;0;0
22. Nov 22;51955;0;0
23. Nov 22;51955;0;0
24. Nov 22;51955;0;0
25. Nov 22;51955;0;0
28. Nov 22;51955;0;0
29. Nov 22;51955;0;0
30. Nov 22;51955;0;0
01-Dec-2022;51955;0;0
02-Dec-2022;51955;0;0
05-Dec-2022;51955;0;0
06-Dec-2022;51955;0;0
07-Dec-2022;51955;0;0
08-Dec-2022;51955;0;0
09-Dec-2022;51955;0;0
12-Dec-2022;51955;0;0
13-Dec-2022;51955;0;0
14-Dec-2022;51955;0;0
15-Dec-2022;51955;0;0
16-Dec-2022;51955;0;0
19-Dec-2022;51955;0;0
20-Dec-2022;51955;0;0
21-Dec-2022;51955;0;0
22-Dec-2022;51955;0;0
23-Dec-2022;51955;0;0
28-Dec-2022;51955;0;0
29-Dec-2022;51955;0;0
30-Dec-2022;51955;0;0
03. Jan 23;50455;-1500;-2.887113849
04. Jan 23;50455;0;0
05. Jan 23;50000;-455;-0.901793678
06. Jan 23;49000;-1000;-2
09. Jan 23;49000;0;0
10. Jan 23;49000;0;0
11. Jan 23;49000;0;0
12. Jan 23;49000;0;0
13. Jan 23;49000;0;0
16. Jan 23;49000;0;0
17. Jan 23;49000;0;0
18. Jan 23;49000;0;0
19. Jan 23;49000;0;0
20. Jan 23;49000;0;0
23. Jan 23;49000;0;0
24. Jan 23;49000;0;0
25. Jan 23;49000;0;0
26. Jan 23;49000;0;0
27. Jan 23;49000;0;0
30. Jan 23;49000;0;0
31. Jan 23;49000;0;0
01. Feb 23;41685;-7315;-14.92857143
02. Feb 23;41685;0;0
03. Feb 23;38920;-2765;-6.633081444
06. Feb 23;38920;0;0
07. Feb 23;38920;0;0
08. Feb 23;38920;0;0
09. Feb 23;38920;0;0
10. Feb 23;38920;0;0
13. Feb 23;38920;0;0
14. Feb 23;35690;-3230;-8.299075026
15. Feb 23;35690;0;0
16. Feb 23;35690;0;0
17. Feb 23;35690;0;0
20. Feb 23;35690;0;0
21. Feb 23;35690;0;0
22. Feb 23;34180;-1510;-4.230876996
23. Feb 23;34180;0;0
24. Feb 23;34180;0;0
27. Feb 23;34180;0;0
28. Feb 23;34180;0;0
01-Mar-2023;34180;0;0
02-Mar-2023;34180;0;0
03-Mar-2023;34180;0;0
06-Mar-2023;34180;0;0
07-Mar-2023;34180;0;0
08-Mar-2023;34180;0;0
09-Mar-2023;34180;0;0
10-Mar-2023;34180;0;0
13-Mar-2023;34180;0;0
14-Mar-2023;34180;0;0
15-Mar-2023;34180;0;0
16-Mar-2023;34180;0;0
17-Mar-2023;34180;0;0
20-Mar-2023;34180;0;0
21-Mar-2023;34180;0;0
22-Mar-2023;34180;0;0
23-Mar-2023;34180;0;0
24-Mar-2023;34180;0;0
27-Mar-2023;34180;0;0
28-Mar-2023;34430;250;0.731421884
29-Mar-2023;34930;500;1.4522219
30-Mar-2023;34930;0;0
31-Mar-2023;34930;0;0
03. Apr 23;34930;0;0
04. Apr 23;34930;0;0
05. Apr 23;34930;0;0
06. Apr 23;34930;0;0
11. Apr 23;34930;0;0
12. Apr 23;34930;0;0
13. Apr 23;34930;0;0
14. Apr 23;34930;0;0
17. Apr 23;34930;0;0
18. Apr 23;34930;0;0
19. Apr 23;34930;0;0
20. Apr 23;34930;0;0
21. Apr 23;34930;0;0
24. Apr 23;34930;0;0
25. Apr 23;34930;0;0
26. Apr 23;34930;0;0
27. Apr 23;34930;0;0
28. Apr 23;34930;0;0
