Exchange Date;Trade Price
18. Aug 22;62 350,00
17. Aug 22;62 545,00
16. Aug 22;62 440,00
15. Aug 22;62 320,00
12. Aug 22;63 070,00
11. Aug 22;62 575,00
10. Aug 22;61 810,00
09. Aug 22;61 560,00
08. Aug 22;61 450,00
05. Aug 22;60 545,00
04. Aug 22;59 970,00
03. Aug 22;60 285,00
02. Aug 22;60 215,00
01. Aug 22;61 615,00
29. Jul 22;60 370,00
28. Jul 22;60 000,00
27. Jul 22;58 680,00
26. Jul 22;58 945,00
25. Jul 22;57 665,00
22. Jul 22;57 105,00
21. Jul 22;56 395,00
20. Jul 22;56 860,00
19. Jul 22;56 235,00
18. Jul 22;55 925,00
15. Jul 22;55 090,00
14. Jul 22;56 310,00
13. Jul 22;56 465,00
12. Jul 22;58 475,00
11. Jul 22;58 545,00
08. Jul 22;59 865,00
07. Jul 22;58 410,00
06. Jul 22;58 435,00
05. Jul 22;61 260,00
04. Jul 22;61 550,00
01. Jul 22;62 920,00
30. Jun 22;64 300,00
29. Jun 22;64 200,00
28. Jun 22;64 140,00
27. Jun 22;64 510,00
24. Jun 22;64 340,00
23. Jun 22;66 035,00
22. Jun 22;68 190,00
21. Jun 22;68 740,00
20. Jun 22;68 815,00
17. Jun 22;70 035,00
16. Jun 22;71 285,00
15. Jun 22;71 265,00
14. Jun 22;71 690,00
13. Jun 22;72 205,00
10. Jun 22;72 750,00
09. Jun 22;73 035,00
08. Jun 22;72 955,00
07. Jun 22;73 015,00
06. Jun 22;73 255,00
02. Jun 22;72 550,00
01. Jun 22;72 160,00
31-May-2022;72 615,00
30-May-2022;72 720,00
27-May-2022;72 610,00
26-May-2022;71 950,00
25-May-2022;72 275,00
24-May-2022;72 530,00
23-May-2022;72 415,00
20-May-2022;72 175,00
19-May-2022;71 755,00
18-May-2022;72 090,00
17-May-2022;72 200,00
16-May-2022;71 695,00
13-May-2022;71 220,00
12-May-2022;72 120,00
11-May-2022;72 005,00
10-May-2022;71 970,00
09-May-2022;72 480,00
06-May-2022;72 860,00
05-May-2022;73 765,00
29. Apr 22;73 980,00
28. Apr 22;74 020,00
27. Apr 22;73 795,00
26. Apr 22;73 945,00
25. Apr 22;74 390,00
22. Apr 22;75 110,00
21. Apr 22;74 905,00
20. Apr 22;74 790,00
19. Apr 22;75 615,00
18. Apr 22;75 570,00
15. Apr 22;75 400,00
14. Apr 22;74 400,00
13. Apr 22;74 530,00
12. Apr 22;73 830,00
11. Apr 22;73 750,00
08. Apr 22;73 820,00
07. Apr 22;73 805,00
06. Apr 22;74 010,00
01. Apr 22;73 675,00
31-Mar-2022;73 630,00
30-Mar-2022;73 960,00
29-Mar-2022;74 195,00
28-Mar-2022;73 380,00
25-Mar-2022;73 795,00
24-Mar-2022;73 925,00
23-Mar-2022;73 420,00
22-Mar-2022;73 515,00
21-Mar-2022;73 480,00
18-Mar-2022;73 300,00
17-Mar-2022;72 680,00
16-Mar-2022;72 070,00
15-Mar-2022;71 815,00
14-Mar-2022;72 270,00
11-Mar-2022;72 200,00
10-Mar-2022;72 050,00
09-Mar-2022;73 110,00
08-Mar-2022;72 965,00
07-Mar-2022;75 095,00
04-Mar-2022;72 875,00
03-Mar-2022;72 575,00
02-Mar-2022;71 585,00
01-Mar-2022;70 885,00
28. Feb 22;70 880,00
