Date;Close;Change;PCT;;;;;;
11-Jul-2018;70 250,00;500,00;0,72%;;;;;;
12-Jul-2018;70 250,00;0,00;0,00%;;;;;;
13-Jul-2018;70 250,00;0,00;0,00%;;;;;;
16-Jul-2018;67 750,00;--2 500,00;--3,56%;;;;;;
17-Jul-2018;69 750,00;2 000,00;2,95%;;;;;;
18-Jul-2018;69 750,00;0,00;0,00%;;;;;;
19-Jul-2018;69 750,00;0,00;0,00%;;;;;;
20-Jul-2018;69 750,00;0,00;0,00%;;;;;;
23-Jul-2018;69 750,00;0,00;0,00%;;;;;;
24-Jul-2018;69 750,00;0,00;0,00%;;;;;;
25-Jul-2018;69 750,00;0,00;0,00%;;;;;;
26-Jul-2018;69 750,00;0,00;0,00%;;;;;;
27-Jul-2018;69 750,00;0,00;0,00%;;;;;;
30-Jul-2018;69 750,00;0,00;0,00%;;;;;;
31-Jul-2018;69 750,00;0,00;0,00%;;;;;;
01-Aug-2018;67 750,00;--2 000,00;--2,87%;;;;;;
02-Aug-2018;66 750,00;--1 000,00;--1,48%;;;;;;
03-Aug-2018;65 000,00;--1 750,00;--2,62%;;;;;;
06-Aug-2018;59 450,00;--5 550,00;--8,54%;;;;;;
07-Aug-2018;55 750,00;--3 700,00;--6,22%;;;;;;
08-Aug-2018;62 000,00;6 250,00;11,21%;;;;;;
09-Aug-2018;62 000,00;0,00;0,00%;;;;;;
10-Aug-2018;62 000,00;0,00;0,00%;;;;;;
13-Aug-2018;64 250,00;2 250,00;3,63%;;;;;;
14-Aug-2018;64 250,00;0,00;0,00%;;;;;;
15-Aug-2018;64 250,00;0,00;0,00%;;;;;;
16-Aug-2018;64 250,00;0,00;0,00%;;;;;;
17-Aug-2018;64 250,00;0,00;0,00%;;;;;;
20-Aug-2018;64 250,00;0,00;0,00%;;;;;;
21-Aug-2018;64 250,00;0,00;0,00%;;;;;;
22-Aug-2018;64 250,00;0,00;0,00%;;;;;;
23-Aug-2018;64 250,00;0,00;0,00%;;;;;;
24-Aug-2018;64 250,00;0,00;0,00%;;;;;;
28-Aug-2018;64 250,00;0,00;0,00%;;;;;;
29-Aug-2018;65 500,00;1 250,00;1,95%;;;;;;
30-Aug-2018;65 500,00;0,00;0,00%;;;;;;
31-Aug-2018;64 750,00;--750,00;--1,15%;;;;;;
03-Sep-2018;64 750,00;0,00;0,00%;;;;;;
04-Sep-2018;64 750,00;0,00;0,00%;;;;;;
05-Sep-2018;62 750,00;--2 000,00;--3,09%;;;;;;
06-Sep-2018;62 750,00;0,00;0,00%;;;;;;
07-Sep-2018;62 000,00;--750,00;--1,20%;;;;;;
10-Sep-2018;62 000,00;0,00;0,00%;;;;;;
11-Sep-2018;62 000,00;0,00;0,00%;;;;;;
12-Sep-2018;63 250,00;1 250,00;2,02%;;;;;;
13-Sep-2018;63 000,00;--250,00;--0,40%;;;;;;
14-Sep-2018;63 000,00;0,00;0,00%;;;;;;
17-Sep-2018;63 000,00;0,00;0,00%;;;;;;
18-Sep-2018;63 000,00;0,00;0,00%;;;;;;
19-Sep-2018;63 000,00;0,00;0,00%;;;;;;
20-Sep-2018;60 000,00;--3 000,00;--4,76%;;;;;;
21-Sep-2018;62 250,00;2 250,00;3,75%;;;;;;
24-Sep-2018;62 250,00;0,00;0,00%;;;;;;
25-Sep-2018;62 250,00;0,00;0,00%;;;;;;
26-Sep-2018;62 250,00;0,00;0,00%;;;;;;
27-Sep-2018;62 250,00;0,00;0,00%;;;;;;
28-Sep-2018;62 250,00;0,00;0,00%;;;;;;
01-Oct-2018;58 250,00;--4 000,00;--6,43%;;;;;;
02-Oct-2018;63 000,00;4 750,00;8,15%;;;;;;
03-Oct-2018;55 250,00;--7 750,00;--12,30%;;;;;;
04-Oct-2018;62 000,00;6 750,00;12,22%;;;;;;
05-Oct-2018;56 250,00;--5 750,00;--9,27%;;;;;;
08-Oct-2018;62 000,00;5 750,00;10,22%;;;;;;
09-Oct-2018;61 750,00;--250,00;--0,40%;;;;;;
10-Oct-2018;61 750,00;0,00;0,00%;;;;;;
11-Oct-2018;61 750,00;0,00;0,00%;;;;;;
12-Oct-2018;61 750,00;0,00;0,00%;;;;;;
15-Oct-2018;61 750,00;0,00;0,00%;;;;;;
16-Oct-2018;61 750,00;0,00;0,00%;;;;;;
17-Oct-2018;61 750,00;0,00;0,00%;;;;;;
18-Oct-2018;60 750,00;--1 000,00;--1,62%;;;;;;
19-Oct-2018;60 000,00;--750,00;--1,23%;;;;;;
22-Oct-2018;60 000,00;0,00;0,00%;;;;;;
23-Oct-2018;60 000,00;0,00;0,00%;;;;;;
24-Oct-2018;60 000,00;0,00;0,00%;;;;;;
25-Oct-2018;60 000,00;0,00;0,00%;;;;;;
26-Oct-2018;60 000,00;0,00;0,00%;;;;;;
29-Oct-2018;59 250,00;--750,00;--1,25%;;;;;;
30-Oct-2018;59 250,00;0,00;0,00%;;;;;;
31-Oct-2018;59 500,00;250,00;0,42%;;;;;;
