Date;Price
30-Mar-2023;254
29-Mar-2023;256
28-Mar-2023;261.5
27-Mar-2023;265
26-Mar-2023;
24-Mar-2023;266
23-Mar-2023;262.5
22-Mar-2023;266
21-Mar-2023;265
20-Mar-2023;264
19-Mar-2023;
17-Mar-2023;271
16-Mar-2023;275
15-Mar-2023;273.5
14-Mar-2023;272
13-Mar-2023;278
12-Mar-2023;
10-Mar-2023;283.5
09-Mar-2023;286
08-Mar-2023;283.5
07-Mar-2023;281.5
06-Mar-2023;280
05-Mar-2023;
03-Mar-2023;279
02-Mar-2023;281.5
01-Mar-2023;283.5
28. Feb 23;283
27. Feb 23;286
26. Feb 23;
24. Feb 23;285
23. Feb 23;282.5
22. Feb 23;283.5
21. Feb 23;282.5
20. Feb 23;281.5
19. Feb 23;
17. Feb 23;276
16. Feb 23;273
15. Feb 23;269
14. Feb 23;268
13. Feb 23;267
12. Feb 23;
10. Feb 23;268
09. Feb 23;267.5
08. Feb 23;266.5
07. Feb 23;267
06. Feb 23;267.5
05. Feb 23;
03. Feb 23;270
02. Feb 23;274
01. Feb 23;279
31. Jan 23;270.5
30. Jan 23;271
29. Jan 23;
27. Jan 23;271.5
26. Jan 23;271.5
16. Jan 23;273
15. Jan 23;
13. Jan 23;280.5
12. Jan 23;287.5
11. Jan 23;279.5
10. Jan 23;290.5
09. Jan 23;291
08. Jan 23;
06. Jan 23;282.5
05. Jan 23;305.5
04. Jan 23;309
03. Jan 23;311
02. Jan 23;
30-Dec-2022;311.5
29-Dec-2022;310
28-Dec-2022;311.5
27-Dec-2022;312
26-Dec-2022;311
25-Dec-2022;
23-Dec-2022;314
22-Dec-2022;310.5
21-Dec-2022;313
20-Dec-2022;312.5
19-Dec-2022;318
18-Dec-2022;
16-Dec-2022;315
15-Dec-2022;315
14-Dec-2022;312.5
13-Dec-2022;313
12-Dec-2022;312
11-Dec-2022;
09-Dec-2022;311
08-Dec-2022;307.5
07-Dec-2022;310.5
06-Dec-2022;310
05-Dec-2022;310
04-Dec-2022;
02-Dec-2022;312.5
01-Dec-2022;313
30. Nov 22;314.5
29. Nov 22;313
28. Nov 22;312
27. Nov 22;
25. Nov 22;325
24. Nov 22;327
23. Nov 22;329
22. Nov 22;331
21. Nov 22;333.5
20. Nov 22;
18. Nov 22;340
17. Nov 22;341
16. Nov 22;337
15. Nov 22;343
14. Nov 22;338.5
13. Nov 22;
11. Nov 22;335
10. Nov 22;326
09. Nov 22;325.5
08. Nov 22;323
07. Nov 22;319
06. Nov 22;
04. Nov 22;315.5
03. Nov 22;322
02. Nov 22;327.5
01. Nov 22;327.5
31-Oct-2022;327
30-Oct-2022;
28-Oct-2022;334.5
27-Oct-2022;335
26-Oct-2022;337
25-Oct-2022;342
24-Oct-2022;343
23-Oct-2022;
21-Oct-2022;340
20-Oct-2022;339
19-Oct-2022;341.5
18-Oct-2022;347
17-Oct-2022;347
16-Oct-2022;
14-Oct-2022;346.5
13-Oct-2022;349
12-Oct-2022;350
11-Oct-2022;350.5
10-Oct-2022;342
09-Oct-2022;
07-Oct-2022;336.5
06-Oct-2022;336.5
05-Oct-2022;336.5
04-Oct-2022;336.5
03-Oct-2022;336
30. Sep 22;336.5
29. Sep 22;335.5
28. Sep 22;334
27. Sep 22;336
26. Sep 22;334
25. Sep 22;
23. Sep 22;338
22. Sep 22;337.5
21. Sep 22;336.5
24. Jun 22;370.5
23. Jun 22;368
22. Jun 22;384.5
21. Jun 22;387
20. Jun 22;383
19. Jun 22;
18. Jun 22;
17. Jun 22;393.5
16. Jun 22;402.5
15. Jun 22;401
14. Jun 22;401
13. Jun 22;403
12. Jun 22;
11. Jun 22;
10. Jun 22;400
09. Jun 22;402.5
08. Jun 22;402.5
07. Jun 22;398
06. Jun 22;390
05. Jun 22;
04. Jun 22;
03. Jun 22;391.5
02. Jun 22;388
01. Jun 22;395
31-May-2022;413.5
30-May-2022;420
27-May-2022;418.5
26-May-2022;430
25-May-2022;470
24-May-2022;470
23-May-2022;470
22-May-2022;
21-May-2022;
20-May-2022;465
19-May-2022;465
18-May-2022;473
17-May-2022;472
16-May-2022;472
15-May-2022;
14-May-2022;
13-May-2022;474
12-May-2022;481.5
11-May-2022;489
10-May-2022;488
09-May-2022;492
08-May-2022;
07-May-2022;
06-May-2022;502.5
05-May-2022;511.5
04-May-2022;516
03-May-2022;516.5
02-May-2022;
01-May-2022;
30. Apr 22;
29. Apr 22;517
28. Apr 22;512.5
27. Apr 22;511.5
26. Apr 22;512
25. Apr 22;528
24. Apr 22;
23. Apr 22;
22. Apr 22;532.5
21. Apr 22;529
20. Apr 22;530
19. Apr 22;536
18. Apr 22;531.5
17. Apr 22;
16. Apr 22;
15. Apr 22;532
14. Apr 22;530
13. Apr 22;529.5
12. Apr 22;536
11. Apr 22;526.5
10. Apr 22;
09. Apr 22;
08. Apr 22;530.5
07. Apr 22;521.5
06. Apr 22;535
05. Apr 22;541
04. Apr 22;540.5
03. Apr 22;
02. Apr 22;
01. Apr 22;542
31-Mar-2022;538
30-Mar-2022;539
29-Mar-2022;540.5
28-Mar-2022;538.5
27-Mar-2022;
26-Mar-2022;
25-Mar-2022;550
24-Mar-2022;547.5
23-Mar-2022;551
22-Mar-2022;548
21-Mar-2022;545.5
20-Mar-2022;
19-Mar-2022;
18-Mar-2022;548.5
17-Mar-2022;548.5
16-Mar-2022;531
15-Mar-2022;529
14-Mar-2022;550
13-Mar-2022;
12-Mar-2022;
11-Mar-2022;553
10-Mar-2022;551
09-Mar-2022;553
08-Mar-2022;554
07-Mar-2022;569.5
04-Mar-2022;551
03-Mar-2022;544.5
02-Mar-2022;539.5
01-Mar-2022;539
28. Feb 22;534.5
27. Feb 22;
26. Feb 22;
25. Feb 22;538
24. Feb 22;539.5
23. Feb 22;539
22. Feb 22;545
21. Feb 22;540
20. Feb 22;
19. Feb 22;
18. Feb 22;532.5
17. Feb 22;527
16. Feb 22;525
15. Feb 22;525
14. Feb 22;527
13. Feb 22;
12. Feb 22;
11. Feb 22;515
10. Feb 22;508
