Exchange Date;Close
19. Jul 22;196
18. Jul 22;196
15. Jul 22;196
14. Jul 22;206
13. Jul 22;206
12. Jul 22;206
11. Jul 22;206
08. Jul 22;206
07. Jul 22;206
06. Jul 22;206
05. Jul 22;206
04. Jul 22;206
01. Jul 22;206
30. Jun 22;206
29. Jun 22;206
28. Jun 22;206
27. Jun 22;206
24. Jun 22;206
23. Jun 22;206
22. Jun 22;206
21. Jun 22;206
20. Jun 22;206
17. Jun 22;206
16. Jun 22;206
15. Jun 22;207
14. Jun 22;207
13. Jun 22;207
10. Jun 22;207
09. Jun 22;207
08. Jun 22;207
07. Jun 22;207
06. Jun 22;207
01. Jun 22;207
31-May-2022;207
30-May-2022;207
27-May-2022;207
26-May-2022;207
25-May-2022;207
24-May-2022;207
23-May-2022;207
20-May-2022;207
19-May-2022;207
18-May-2022;207
17-May-2022;210
16-May-2022;210
13-May-2022;210
12-May-2022;210
11-May-2022;210
10-May-2022;210
09-May-2022;210
06-May-2022;210
05-May-2022;213
04-May-2022;228
03-May-2022;228
29. Apr 22;228
28. Apr 22;228
27. Apr 22;228
26. Apr 22;228
25. Apr 22;228
22. Apr 22;228
21. Apr 22;228
20. Apr 22;228
19. Apr 22;228
14. Apr 22;228
13. Apr 22;228
12. Apr 22;228
11. Apr 22;228
08. Apr 22;248
07. Apr 22;248
06. Apr 22;248
05. Apr 22;248
04. Apr 22;248
01. Apr 22;248
31-Mar-2022;248
30-Mar-2022;248
29-Mar-2022;248
28-Mar-2022;248
25-Mar-2022;248
24-Mar-2022;248
23-Mar-2022;248
22-Mar-2022;248
21-Mar-2022;248
18-Mar-2022;248
17-Mar-2022;248
16-Mar-2022;248
15-Mar-2022;248
14-Mar-2022;248
11-Mar-2022;248
10-Mar-2022;248
09-Mar-2022;248
08-Mar-2022;248
07-Mar-2022;248
04-Mar-2022;248
03-Mar-2022;248
02-Mar-2022;248
01-Mar-2022;248
28. Feb 22;248
25. Feb 22;248
24. Feb 22;248
23. Feb 22;248
22. Feb 22;248
21. Feb 22;248
18. Feb 22;253
17. Feb 22;259
16. Feb 22;259
15. Feb 22;259
14. Feb 22;259
11. Feb 22;260
10. Feb 22;260
09. Feb 22;260
08. Feb 22;260
07. Feb 22;260
04. Feb 22;260
03. Feb 22;260
02. Feb 22;260
01. Feb 22;260
31. Jan 22;256
28. Jan 22;256
27. Jan 22;256
26. Jan 22;256
25. Jan 22;256
24. Jan 22;261
21. Jan 22;261
20. Jan 22;261
19. Jan 22;261
18. Jan 22;251
17. Jan 22;251
14. Jan 22;251
13. Jan 22;251
12. Jan 22;251
11. Jan 22;251
10. Jan 22;251
07. Jan 22;251
06. Jan 22;251
05. Jan 22;251
04. Jan 22;256
31-Dec-2021;256
30-Dec-2021;256
29-Dec-2021;256
24-Dec-2021;256
23-Dec-2021;256
22-Dec-2021;256
21-Dec-2021;256
20-Dec-2021;256
17-Dec-2021;256
16-Dec-2021;271
15-Dec-2021;271
14-Dec-2021;271
13-Dec-2021;271
10-Dec-2021;271
09-Dec-2021;271
08-Dec-2021;271
07-Dec-2021;271
06-Dec-2021;271
03-Dec-2021;271
02-Dec-2021;271
01-Dec-2021;271
30. Nov 21;271
29. Nov 21;271
26. Nov 21;271
25. Nov 21;271
24. Nov 21;271
23. Nov 21;271
22. Nov 21;271
19. Nov 21;271
18. Nov 21;271
17. Nov 21;271
16. Nov 21;271
15. Nov 21;271
12. Nov 21;271
11. Nov 21;271
10. Nov 21;271
09. Nov 21;271
08. Nov 21;271
05. Nov 21;271
04. Nov 21;271
03. Nov 21;271
02. Nov 21;271
01. Nov 21;271
29-Oct-2021;271
28-Oct-2021;271
27-Oct-2021;271
26-Oct-2021;271
25-Oct-2021;271
22-Oct-2021;271
21-Oct-2021;271
20-Oct-2021;271
19-Oct-2021;271
18-Oct-2021;271
15-Oct-2021;271
14-Oct-2021;271
13-Oct-2021;271
12-Oct-2021;280
11-Oct-2021;280
08-Oct-2021;280
07-Oct-2021;280
06-Oct-2021;280
05-Oct-2021;280
04-Oct-2021;280
01-Oct-2021;280
30. Sep 21;280
29. Sep 21;280
28. Sep 21;280
27. Sep 21;280
24. Sep 21;280
23. Sep 21;280
22. Sep 21;280
21. Sep 21;280
20. Sep 21;285
17. Sep 21;285
16. Sep 21;285
15. Sep 21;285
14. Sep 21;285
13. Sep 21;285
10. Sep 21;285
09. Sep 21;285
08. Sep 21;285
07. Sep 21;285
06. Sep 21;285
03. Sep 21;285
02. Sep 21;286
01. Sep 21;286
31. Aug 21;286
27. Aug 21;286
26. Aug 21;286
25. Aug 21;286
24. Aug 21;286
23. Aug 21;286
20. Aug 21;286
19. Aug 21;286
18. Aug 21;286
17. Aug 21;286
16. Aug 21;286
13. Aug 21;286
12. Aug 21;286
11. Aug 21;286
10. Aug 21;286
09. Aug 21;286
06. Aug 21;286
05. Aug 21;286
04. Aug 21;286
03. Aug 21;286
02. Aug 21;286
30. Jul 21;286
29. Jul 21;286
28. Jul 21;286
27. Jul 21;286
26. Jul 21;287
23. Jul 21;287
22. Jul 21;287
21. Jul 21;287
20. Jul 21;287
19. Jul 21;287
16. Jul 21;287
15. Jul 21;287
14. Jul 21;287
13. Jul 21;287
12. Jul 21;287
09. Jul 21;287
08. Jul 21;287
07. Jul 21;287
