Metal,Variant,Model,BubDays,AUC,F1,Sens,Prec,Spec,Detected,EpDet,Note
Copper,lppls_0.01_period,RF,203,0.544,0.28,0.319,0.249,0.859,58/182,5/11,
Copper,lppls_0.01_period,XGBoost,203,0.555,0.243,0.995,0.138,0.092,181/182,11/11,
Copper,lppls_0.01_period,LightGBM,203,0.522,0.251,0.214,0.302,0.928,39/182,4/11,
Copper,lppls_0.01_period,CatBoost,203,0.549,0.296,0.357,0.253,0.845,65/182,4/11,
Lithium,gsadf_ols,LASSO,466,0.446,0.508,1.0,0.34,0.006,362/362,3/3,
Lithium,gsadf_ols,RF,466,0.472,0.588,0.956,0.425,0.336,346/362,3/3,
Lithium,gsadf_ols,XGBoost,466,0.501,0.633,0.978,0.468,0.429,354/362,2/3,
Lithium,gsadf_ols,LightGBM,466,0.438,0.568,0.917,0.411,0.326,332/362,3/3,
Lithium,gsadf_ols,CatBoost,466,0.431,0.523,0.978,0.357,0.096,354/362,3/3,
Lithium,gsadf_ols_period,LASSO,466,0.446,0.508,1.0,0.34,0.006,362/362,3/3,
Lithium,gsadf_ols_period,RF,466,0.472,0.588,0.956,0.425,0.336,346/362,3/3,
Lithium,gsadf_ols_period,XGBoost,466,0.501,0.633,0.978,0.468,0.429,354/362,2/3,
Lithium,gsadf_ols_period,LightGBM,466,0.438,0.568,0.917,0.411,0.326,332/362,3/3,
Lithium,gsadf_ols_period,CatBoost,466,0.431,0.523,0.978,0.357,0.096,354/362,3/3,
Lithium,gsadf_v1,LASSO,281,0.75,0.466,0.652,0.363,0.79,180/276,22/35,
Lithium,gsadf_v1,RF,281,0.658,0.377,0.71,0.256,0.622,196/276,25/35,
Lithium,gsadf_v1,XGBoost,281,0.634,0.335,0.551,0.241,0.681,152/276,23/35,
Lithium,gsadf_v1,LightGBM,281,0.615,0.335,0.906,0.205,0.357,250/276,34/35,
Lithium,gsadf_v1,CatBoost,281,0.68,0.359,0.696,0.242,0.6,192/276,30/35,
Lithium,gsadf_v1_period,LASSO,332,0.776,0.566,0.685,0.483,0.781,224/327,7/13,
Lithium,gsadf_v1_period,RF,332,0.658,0.475,0.786,0.34,0.545,257/327,7/13,
Lithium,gsadf_v1_period,XGBoost,332,0.71,0.457,0.572,0.38,0.722,187/327,6/13,
Lithium,gsadf_v1_period,LightGBM,332,0.715,0.478,0.682,0.367,0.65,223/327,7/13,
Lithium,gsadf_v1_period,CatBoost,332,0.693,0.469,0.709,0.35,0.607,232/327,8/13,
Lithium,lppls_0.10,LASSO,59,0.754,0.242,0.645,0.149,0.833,20/31,4/7,
Lithium,lppls_0.10,RF,59,0.59,0.205,0.258,0.17,0.943,8/31,3/7,
Lithium,lppls_0.10,XGBoost,59,0.708,0.225,0.29,0.184,0.941,9/31,3/7,
Lithium,lppls_0.10,LightGBM,59,0.708,0.212,0.29,0.167,0.934,9/31,3/7,
Lithium,lppls_0.10,CatBoost,59,0.562,0.2,0.29,0.153,0.927,9/31,4/7,
Lithium,lppls_0.10_period,LASSO,45,0.555,0.174,0.65,0.101,0.655,13/20,2/4,
Lithium,lppls_0.10_period,RF,45,0.271,0.108,1.0,0.057,0.021,20/20,4/4,
Lithium,lppls_0.10_period,XGBoost,45,0.395,0.111,1.0,0.059,0.045,20/20,4/4,
Lithium,lppls_0.10_period,LightGBM,45,0.464,0.138,0.65,0.077,0.536,13/20,2/4,
Lithium,lppls_0.10_period,CatBoost,45,0.481,0.134,0.9,0.072,0.312,18/20,4/4,
Lithium,lppls_0.05,LASSO,83,0.724,0.208,0.333,0.152,0.918,15/45,4/10,
Lithium,lppls_0.05,RF,83,0.672,0.267,0.267,0.267,0.968,12/45,5/10,
Lithium,lppls_0.05,XGBoost,83,0.732,0.245,0.289,0.213,0.953,13/45,5/10,
Lithium,lppls_0.05,LightGBM,83,0.688,0.196,0.222,0.175,0.954,10/45,5/10,
Lithium,lppls_0.05,CatBoost,83,0.586,0.22,0.244,0.2,0.957,11/45,5/10,
Lithium,lppls_0.05_period,LASSO,73,0.635,0.165,0.65,0.095,0.629,26/40,5/7,
Lithium,lppls_0.05_period,RF,73,0.312,0.107,1.0,0.057,0.007,40/40,7/7,
Lithium,lppls_0.05_period,XGBoost,73,0.56,0.192,0.175,0.212,0.961,7/40,2/7,
Lithium,lppls_0.05_period,LightGBM,73,0.568,0.225,0.2,0.258,0.966,8/40,2/7,
Lithium,lppls_0.05_period,CatBoost,73,0.434,0.137,0.175,0.113,0.918,7/40,2/7,
Lithium,lppls_0.01,LASSO,83,0.724,0.208,0.333,0.152,0.918,15/45,4/10,
Lithium,lppls_0.01,RF,83,0.672,0.267,0.267,0.267,0.968,12/45,5/10,
Lithium,lppls_0.01,XGBoost,83,0.732,0.245,0.289,0.213,0.953,13/45,5/10,
Lithium,lppls_0.01,LightGBM,83,0.688,0.196,0.222,0.175,0.954,10/45,5/10,
Lithium,lppls_0.01,CatBoost,83,0.586,0.22,0.244,0.2,0.957,11/45,5/10,
Lithium,lppls_0.01_period,LASSO,111,0.626,0.298,0.338,0.267,0.897,24/71,4/7,
Lithium,lppls_0.01_period,RF,111,0.542,0.229,0.352,0.17,0.81,25/71,5/7,
Lithium,lppls_0.01_period,XGBoost,111,0.666,0.397,0.324,0.511,0.966,23/71,4/7,
Lithium,lppls_0.01_period,LightGBM,111,0.645,0.373,0.352,0.397,0.941,25/71,4/7,
Lithium,lppls_0.01_period,CatBoost,111,0.499,0.201,0.93,0.113,0.19,66/71,7/7,
Nickel,gsadf_ols,LASSO,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols,RF,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols,XGBoost,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols,LightGBM,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols,CatBoost,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols_period,LASSO,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols_period,RF,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols_period,XGBoost,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols_period,LightGBM,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_ols_period,CatBoost,11,,,,,,0/0,0/0,no_valid_fold
Nickel,gsadf_v1,LASSO,21,0.928,0.769,0.714,0.833,0.997,5/7,1/1,
Nickel,gsadf_v1,RF,21,0.615,0.211,0.286,0.167,0.971,2/7,1/1,
Nickel,gsadf_v1,XGBoost,21,0.72,0.125,0.143,0.111,0.977,1/7,1/1,
Nickel,gsadf_v1,LightGBM,21,0.794,0.267,0.286,0.25,0.983,2/7,1/1,
Nickel,gsadf_v1,CatBoost,21,0.703,0.308,0.286,0.333,0.989,2/7,1/1,
Nickel,gsadf_v1_period,LASSO,21,0.884,0.667,0.714,0.625,0.991,5/7,1/1,
Nickel,gsadf_v1_period,RF,21,0.477,0.058,1.0,0.03,0.344,7/7,1/1,
Nickel,gsadf_v1_period,XGBoost,21,0.555,0.058,1.0,0.03,0.347,7/7,1/1,
Nickel,gsadf_v1_period,LightGBM,21,0.502,0.054,1.0,0.028,0.292,7/7,1/1,
Nickel,gsadf_v1_period,CatBoost,21,0.599,0.076,0.714,0.04,0.656,5/7,1/1,
Nickel,lppls_0.10,LASSO,123,0.573,0.265,0.777,0.16,0.379,73/94,20/20,
Nickel,lppls_0.10,RF,123,0.514,0.24,0.915,0.138,0.131,86/94,19/20,
Nickel,lppls_0.10,XGBoost,123,0.428,0.237,1.0,0.134,0.021,94/94,20/20,
Nickel,lppls_0.10,LightGBM,123,0.467,0.246,0.66,0.151,0.435,62/94,16/20,
